,raw,floored
0,0.6676,0.7042
1,0.6977,0.7564
2,0.6952,0.788
3,0.6687,0.6958
4,0.6723,0.7184
5,0.7042,0.7773
6,0.6916,0.7325
7,0.679,0.7331
8,0.6825,0.7358
9,0.6877,0.7406
10,0.6901,0.7843
11,0.6823,0.7997
12,0.6719,0.72
13,0.6883,0.7633
14,0.6726,0.7967
15,0.6928,0.7631
16,0.678,0.7648
17,0.6661,0.7649
18,0.6605,0.7704
19,0.6551,0.8024
20,0.643,0.8024
21,0.6449,0.7837
22,0.5845,0.7961
23,0.6058,0.8016
24,0.616,0.8021
25,0.6035,0.8028
26,0.6062,0.8025
27,0.672,0.7035
28,0.7003,0.7513
29,0.7116,0.786
30,0.6644,0.6951
31,0.6742,0.7169
32,0.7239,0.7747
33,0.6997,0.723
34,0.7045,0.7261
35,0.7076,0.7276
36,0.6937,0.7377
37,0.7025,0.7795
38,0.7005,0.7959
39,0.682,0.7195
40,0.7053,0.7605
41,0.7057,0.7948
42,0.705,0.7546
43,0.694,0.7613
44,0.6926,0.7617
45,0.6962,0.7759
46,0.6526,0.8007
47,0.6139,0.7995
48,0.6325,0.7786
49,0.6259,0.7946
50,0.6345,0.7999
51,0.6958,0.7987
52,0.683,0.7991
53,0.6645,0.7976
54,0.6681,0.6953
55,0.7125,0.7531
56,0.7332,0.7847
57,0.6536,0.6781
58,0.6891,0.7189
59,0.7457,0.7836
60,0.704,0.7235
61,0.7162,0.7276
62,0.7176,0.728
63,0.7045,0.7364
64,0.7281,0.7855
65,0.7355,0.7925
66,0.6998,0.7271
67,0.7216,0.7609
68,0.7374,0.7929
69,0.7217,0.7578
70,0.714,0.7604
71,0.7154,0.7613
72,0.7159,0.7694
73,0.692,0.7929
74,0.6741,0.7936
75,0.7129,0.7834
76,0.6982,0.7926
77,0.6932,0.7937
78,0.7395,0.795
79,0.7188,0.7937
80,0.7003,0.7931
81,0.27,0.07
82,0.35,0.09
83,0.44,0.12
84,0.16,0.07
85,0.23,0.07
86,0.39,0.12
87,0.23,0.11
88,0.36,0.13
89,0.37,0.14
90,0.3,0.08
91,0.41,0.1
92,0.48,0.11
93,0.38,0.07
94,0.48,0.1
95,0.53,0.09
96,0.5,0.18
97,0.59,0.15
98,0.73,0.2
99,0.34,0.08
100,0.52,0.12
101,0.6,0.14
102,0.49,0.09
103,0.65,0.1
104,0.71,0.12
105,0.81,0.23
106,0.83,0.21
107,0.81,0.21
108,0.24,0.07
109,0.37,0.08
110,0.48,0.09
111,0.25,0.07
112,0.24,0.11
113,0.56,0.15
114,0.33,0.13
115,0.4,0.08
116,0.44,0.1
117,0.32,0.07
118,0.4,0.08
119,0.57,0.13
120,0.24,0.07
121,0.56,0.13
122,0.62,0.11
123,0.54,0.16
124,0.63,0.16
125,0.75,0.11
126,0.48,0.08
127,0.5,0.11
128,0.63,0.11
129,0.51,0.08
130,0.66,0.1
131,0.73,0.11
132,0.84,0.18
133,0.85,0.17
134,0.86,0.16
135,0.24,0.07
136,0.4,0.08
137,0.45,0.09
138,0.26,0.07
139,0.19,0.07
140,0.43,0.13
141,0.24,0.09
142,0.37,0.09
143,0.45,0.09
144,0.38,0.07
145,0.33,0.08
146,0.55,0.1
147,0.3,0.07
148,0.37,0.09
149,0.6,0.12
150,0.36,0.11
151,0.56,0.1
152,0.69,0.09
153,0.41,0.07
154,0.5,0.09
155,0.65,0.1
156,0.55,0.08
157,0.71,0.1
158,0.81,0.1
159,0.81,0.18
160,0.86,0.12
161,0.85,0.11
162,0.49,0.29
163,0.66,0.39
164,0.74,0.38
165,0.36,0.29
166,0.53,0.31
167,0.66,0.36
168,0.68,0.32
169,0.7,0.31
170,0.71,0.33
171,0.54,0.34
172,0.72,0.42
173,0.75,0.39
174,0.53,0.33
175,0.69,0.35
176,0.74,0.36
177,0.7,0.37
178,0.79,0.37
179,0.77,0.38
180,0.63,0.35
181,0.75,0.39
182,0.77,0.38
183,0.63,0.35
184,0.73,0.37
185,0.72,0.37
186,0.77,0.37
187,0.81,0.37
188,0.81,0.37
189,0.44,0.28
190,0.63,0.35
191,0.71,0.35
192,0.34,0.31
193,0.47,0.31
194,0.64,0.36
195,0.48,0.29
196,0.53,0.31
197,0.59,0.3
198,0.54,0.26
199,0.7,0.36
200,0.75,0.33
201,0.53,0.27
202,0.63,0.33
203,0.69,0.33
204,0.62,0.33
205,0.7,0.36
206,0.77,0.33
207,0.59,0.32
208,0.71,0.39
209,0.75,0.37
210,0.69,0.32
211,0.75,0.35
212,0.75,0.37
213,0.73,0.33
214,0.76,0.36
215,0.74,0.36
216,0.32,0.25
217,0.54,0.34
218,0.57,0.35
219,0.38,0.32
220,0.34,0.26
221,0.49,0.32
222,0.41,0.32
223,0.35,0.29
224,0.43,0.3
225,0.47,0.23
226,0.66,0.33
227,0.68,0.32
228,0.47,0.29
229,0.59,0.31
230,0.64,0.32
231,0.53,0.32
232,0.65,0.34
233,0.65,0.31
234,0.62,0.29
235,0.69,0.32
236,0.74,0.32
237,0.65,0.31
238,0.74,0.32
239,0.72,0.34
240,0.67,0.35
241,0.72,0.36
242,0.76,0.35
243,0.21,0.21
244,0.43,0.25
245,0.59,0.35
246,0.29,0.21
247,0.47,0.27
248,0.6,0.34
249,0.43,0.29
250,0.65,0.33
251,0.67,0.38
252,0.29,0.24
253,0.42,0.29
254,0.59,0.32
255,0.45,0.26
256,0.57,0.35
257,0.65,0.36
258,0.53,0.3
259,0.69,0.4
260,0.6,0.36
261,0.32,0.24
262,0.48,0.3
263,0.61,0.37
264,0.57,0.3
265,0.61,0.29
266,0.63,0.35
267,0.68,0.5
268,0.69,0.4
269,0.67,0.43
270,0.25,0.2
271,0.4,0.26
272,0.61,0.39
273,0.31,0.21
274,0.4,0.24
275,0.55,0.33
276,0.43,0.29
277,0.64,0.29
278,0.67,0.34
279,0.25,0.23
280,0.47,0.27
281,0.62,0.31
282,0.36,0.25
283,0.6,0.34
284,0.66,0.33
285,0.52,0.26
286,0.67,0.33
287,0.64,0.3
288,0.35,0.23
289,0.51,0.29
290,0.65,0.35
291,0.55,0.3
292,0.65,0.31
293,0.65,0.32
294,0.67,0.42
295,0.71,0.4
296,0.68,0.38
297,0.26,0.19
298,0.42,0.29
299,0.61,0.37
300,0.22,0.2
301,0.37,0.23
302,0.63,0.33
303,0.33,0.21
304,0.59,0.3
305,0.62,0.27
306,0.32,0.23
307,0.47,0.26
308,0.56,0.31
309,0.33,0.26
310,0.63,0.33
311,0.71,0.31
312,0.61,0.35
313,0.69,0.31
314,0.72,0.34
315,0.3,0.23
316,0.54,0.29
317,0.68,0.32
318,0.58,0.3
319,0.63,0.3
320,0.68,0.3
321,0.7,0.39
322,0.73,0.39
323,0.7,0.32
324,0.6666666666666666,0.2222222222222222
325,0.7777777777777778,0.4444444444444444
326,1.0,0.7777777777777778
327,0.2222222222222222,0.2222222222222222
328,0.6666666666666666,0.5555555555555556
329,0.7777777777777778,0.4444444444444444
330,0.4444444444444444,0.3333333333333333
331,0.6666666666666666,0.3333333333333333
332,0.6666666666666666,0.3333333333333333
333,0.7777777777777778,0.4444444444444444
334,1.0,0.3333333333333333
335,1.0,0.8888888888888888
336,0.6666666666666666,0.1111111111111111
337,0.7777777777777778,0.6666666666666666
338,1.0,0.8888888888888888
339,1.0,1.0
340,1.0,1.0
341,1.0,1.0
342,0.8888888888888888,0.5555555555555556
343,0.7777777777777778,0.5555555555555556
344,1.0,0.8888888888888888
345,0.7777777777777778,0.6666666666666666
346,0.8888888888888888,0.7777777777777778
347,1.0,0.8888888888888888
348,1.0,1.0
349,1.0,1.0
350,1.0,1.0
351,0.5555555555555556,0.1111111111111111
352,0.6666666666666666,0.4444444444444444
353,0.8888888888888888,0.8888888888888888
354,0.2222222222222222,0.1111111111111111
355,0.5555555555555556,0.3333333333333333
356,0.7777777777777778,0.4444444444444444
357,0.1111111111111111,0.1111111111111111
358,0.5555555555555556,0.1111111111111111
359,0.6666666666666666,0.2222222222222222
360,0.5555555555555556,0.1111111111111111
361,0.7777777777777778,0.3333333333333333
362,0.8888888888888888,0.7777777777777778
363,0.7777777777777778,0.2222222222222222
364,0.7777777777777778,0.5555555555555556
365,1.0,0.7777777777777778
