,raw,floored
0,0.7615,0.7615
1,0.7924,0.7924
2,0.7924,0.7924
3,0.7611,0.7611
4,0.7924,0.7924
5,0.7924,0.7924
6,0.7535,0.7535
7,0.7535,0.7535
8,0.7535,0.7535
9,0.7615,0.7615
10,0.7924,0.7924
11,0.7924,0.7924
12,0.7848,0.7848
13,0.7924,0.7924
14,0.7924,0.7924
15,0.7924,0.7924
16,0.7924,0.7924
17,0.7924,0.7924
18,0.7769,0.7769
19,0.7924,0.7924
20,0.7924,0.7924
21,0.7924,0.7924
22,0.7924,0.7924
23,0.7924,0.7924
24,0.7924,0.7924
25,0.7924,0.7924
26,0.7924,0.7924
27,0.7615,0.7615
28,0.7924,0.7924
29,0.7924,0.7924
30,0.7691,0.7691
31,0.7924,0.7924
32,0.7924,0.7924
33,0.7535,0.7535
34,0.7535,0.7535
35,0.7535,0.7535
36,0.7615,0.7615
37,0.7924,0.7924
38,0.7924,0.7924
39,0.7848,0.7848
40,0.7924,0.7924
41,0.7924,0.7924
42,0.7924,0.7924
43,0.7924,0.7924
44,0.7924,0.7924
45,0.7691,0.7691
46,0.7924,0.7924
47,0.7924,0.7924
48,0.7924,0.7924
49,0.7924,0.7924
50,0.7924,0.7924
51,0.7924,0.7924
52,0.7924,0.7924
53,0.7924,0.7924
54,0.7615,0.7615
55,0.7924,0.7924
56,0.7924,0.7924
57,0.777,0.777
58,0.7924,0.7924
59,0.7924,0.7924
60,0.7454,0.7454
61,0.7454,0.7454
62,0.7454,0.7454
63,0.7691,0.7691
64,0.7924,0.7924
65,0.7924,0.7924
66,0.7848,0.7848
67,0.7924,0.7924
68,0.7924,0.7924
69,0.7924,0.7924
70,0.7924,0.7924
71,0.7924,0.7924
72,0.7769,0.7769
73,0.7924,0.7924
74,0.7924,0.7924
75,0.7924,0.7924
76,0.7924,0.7924
77,0.7924,0.7924
78,0.7924,0.7924
79,0.7924,0.7924
80,0.7924,0.7924
81,0.13,0.07
82,0.12,0.07
83,0.13,0.07
84,0.09,0.07
85,0.09,0.07
86,0.14,0.07
87,0.08,0.07
88,0.07,0.07
89,0.07,0.07
90,0.11,0.07
91,0.13,0.07
92,0.14,0.07
93,0.1,0.07
94,0.09,0.07
95,0.14,0.07
96,0.15,0.07
97,0.08,0.07
98,0.07,0.07
99,0.1,0.07
100,0.13,0.07
101,0.13,0.07
102,0.09,0.07
103,0.12,0.07
104,0.15,0.07
105,0.21,0.07
106,0.14,0.07
107,0.08,0.07
108,0.13,0.07
109,0.12,0.07
110,0.14,0.07
111,0.08,0.07
112,0.09,0.07
113,0.13,0.07
114,0.08,0.07
115,0.08,0.07
116,0.07,0.07
117,0.14,0.07
118,0.13,0.07
119,0.14,0.07
120,0.1,0.07
121,0.1,0.07
