,raw,floored
0,0.1106,0.7619
1,0.1063,0.6546
2,0.104,0.3457
3,0.1013,0.7527
4,0.1062,0.5118
5,0.1062,0.3053
6,0.1083,0.6485
7,0.1036,0.3753
8,0.1036,0.2368
9,0.1106,0.7606
10,0.1081,0.3633
11,0.11,0.4356
12,0.1031,0.7139
13,0.0986,0.2957
14,0.1068,0.382
15,0.1069,0.5668
16,0.1013,0.2124
17,0.1036,0.3218
18,0.1147,0.5912
19,0.1074,0.7358
20,0.1071,0.7639
21,0.1079,0.6448
22,0.1042,0.675
23,0.1049,0.7087
24,0.1083,0.6031
25,0.1085,0.7015
26,0.1086,0.7117
27,0.11,0.7612
28,0.1079,0.5954
29,0.1041,0.301
30,0.0987,0.7558
31,0.1048,0.4977
32,0.1024,0.2683
33,0.1078,0.6268
34,0.105,0.37
35,0.1085,0.2218
36,0.11,0.7474
37,0.1071,0.3054
38,0.1071,0.3678
39,0.102,0.6577
40,0.106,0.2645
41,0.1076,0.3304
42,0.1074,0.5025
43,0.0974,0.2055
44,0.1023,0.3037
45,0.1108,0.471
46,0.1091,0.6737
47,0.1064,0.691
48,0.106,0.5834
49,0.1068,0.6421
50,0.1059,0.6657
51,0.1061,0.4467
52,0.108,0.6119
53,0.1076,0.6396
54,0.1098,0.7605
55,0.1037,0.5591
56,0.1036,0.2947
57,0.0983,0.7596
58,0.1051,0.4902
59,0.0997,0.2592
60,0.1064,0.6072
61,0.1013,0.3522
62,0.106,0.208
63,0.1139,0.7462
64,0.1042,0.3027
65,0.1026,0.3375
66,0.1028,0.6532
67,0.0999,0.2505
68,0.1062,0.3085
69,0.1047,0.4708
70,0.1025,0.2002
71,0.1042,0.2978
72,0.1122,0.4714
73,0.1062,0.65
74,0.1052,0.6608
75,0.1057,0.558
76,0.1063,0.6168
77,0.1049,0.6388
78,0.1042,0.4122
79,0.1066,0.5879
80,0.106,0.614
81,0.43,0.18
82,0.54,0.14
83,0.62,0.18
84,0.45,0.23
85,0.52,0.22
86,0.68,0.18
87,0.46,0.33
88,0.64,0.21
89,0.66,0.19
90,0.54,0.13
91,0.5,0.17
92,0.6,0.18
93,0.52,0.21
94,0.63,0.27
95,0.78,0.15
96,0.76,0.2
97,0.83,0.23
98,0.83,0.24
99,0.66,0.09
100,0.49,0.13
101,0.61,0.14
102,0.67,0.13
103,0.68,0.11
104,0.72,0.14
105,0.84,0.24
106,0.86,0.22
107,0.85,0.21
108,0.54,0.1
109,0.54,0.12
110,0.64,0.17
111,0.51,0.15
112,0.64,0.14
113,0.7,0.19
114,0.59,0.29
115,0.7,0.1
116,0.71,0.1
117,0.57,0.08
118,0.55,0.1
119,0.6,0.14
120,0.58,0.12
121,0.67,0.17
122,0.8,0.14
123,0.76,0.25
124,0.76,0.21
125,0.8,0.16
126,0.59,0.08
127,0.5,0.12
128,0.62,0.11
129,0.68,0.1
130,0.73,0.1
131,0.77,0.13
132,0.85,0.19
133,0.88,0.17
134,0.88,0.16
135,0.55,0.11
136,0.53,0.09
137,0.61,0.12
138,0.54,0.11
139,0.63,0.13
140,0.71,0.16
141,0.55,0.25
142,0.71,0.11
143,0.71,0.11
144,0.53,0.07
145,0.48,0.09
146,0.66,0.09
147,0.62,0.07
148,0.69,0.1
149,0.79,0.12
150,0.75,0.16
151,0.76,0.12
152,0.78,0.1
153,0.55,0.07
154,0.56,0.09
155,0.71,0.11
156,0.7,0.09
157,0.75,0.1
158,0.82,0.1
159,0.81,0.17
160,0.85,0.12
161,0.85,0.11
162,0.53,0.43
163,0.66,0.43
164,0.71,0.4
165,0.52,0.41
166,0.64,0.37
167,0.68,0.42
168,0.62,0.43
169,0.7,0.4
170,0.73,0.38
171,0.56,0.4
172,0.7,0.42
173,0.73,0.39
174,0.62,0.37
175,0.72,0.35
176,0.73,0.36
177,0.7,0.39
178,0.75,0.37
179,0.73,0.37
180,0.64,0.36
181,0.7,0.39
182,0.74,0.38
183,0.65,0.36
184,0.71,0.36
185,0.73,0.37
186,0.75,0.37
187,0.75,0.37
188,0.75,0.37
189,0.54,0.39
190,0.69,0.4
191,0.72,0.37
192,0.52,0.37
193,0.62,0.4
194,0.69,0.41
195,0.54,0.39
196,0.61,0.41
197,0.69,0.35
198,0.57,0.33
199,0.7,0.37
200,0.72,0.37
201,0.64,0.37
202,0.69,0.34
203,0.73,0.33
204,0.68,0.39
205,0.71,0.36
206,0.72,0.35
207,0.65,0.33
208,0.71,0.39
209,0.73,0.37
210,0.67,0.32
211,0.7,0.35
212,0.73,0.37
213,0.72,0.36
214,0.73,0.36
215,0.73,0.36
216,0.51,0.31
217,0.62,0.41
218,0.62,0.4
219,0.55,0.4
220,0.58,0.38
221,0.65,0.34
222,0.47,0.35
223,0.44,0.36
224,0.57,0.34
225,0.55,0.28
226,0.71,0.33
227,0.71,0.34
228,0.62,0.38
229,0.69,0.34
230,0.71,0.33
231,0.56,0.36
232,0.65,0.36
233,0.7,0.31
234,0.65,0.31
235,0.73,0.34
236,0.73,0.34
237,0.68,0.31
238,0.73,0.33
239,0.73,0.34
240,0.72,0.35
241,0.72,0.36
242,0.75,0.35
243,0.38,0.3
244,0.5,0.29
245,0.62,0.42
246,0.37,0.35
247,0.52,0.39
248,0.59,0.38
249,0.56,0.45
250,0.68,0.41
251,0.69,0.41
252,0.39,0.25
253,0.46,0.35
254,0.63,0.36
255,0.4,0.31
256,0.57,0.37
257,0.61,0.42
258,0.63,0.5
259,0.66,0.49
260,0.66,0.48
261,0.42,0.26
262,0.49,0.33
263,0.63,0.4
264,0.61,0.31
265,0.6,0.32
266,0.64,0.36
267,0.68,0.51
268,0.68,0.47
269,0.68,0.46
270,0.44,0.27
271,0.57,0.28
272,0.64,0.39
273,0.34,0.27
274,0.55,0.38
275,0.58,0.36
276,0.62,0.5
277,0.63,0.35
278,0.68,0.35
279,0.35,0.25
280,0.51,0.32
281,0.65,0.32
282,0.45,0.27
283,0.61,0.35
284,0.6,0.36
285,0.66,0.5
286,0.68,0.43
287,0.71,0.33
288,0.39,0.24
289,0.53,0.31
290,0.64,0.35
291,0.63,0.32
292,0.65,0.31
293,0.65,0.33
294,0.69,0.45
295,0.68,0.38
296,0.68,0.38
297,0.38,0.24
298,0.51,0.33
299,0.65,0.37
300,0.36,0.22
301,0.55,0.31
302,0.61,0.35
303,0.64,0.47
304,0.67,0.35
305,0.68,0.32
306,0.41,0.28
307,0.51,0.31
308,0.63,0.33
309,0.46,0.29
310,0.61,0.33
311,0.65,0.36
312,0.65,0.44
313,0.67,0.34
314,0.71,0.34
315,0.38,0.24
316,0.54,0.32
317,0.65,0.33
318,0.61,0.3
319,0.63,0.3
320,0.68,0.33
321,0.7,0.39
322,0.71,0.38
323,0.71,0.35
324,0.6666666666666666,0.4444444444444444
325,1.0,0.3333333333333333
326,1.0,0.7777777777777778
327,0.7777777777777778,0.5555555555555556
328,0.7777777777777778,0.5555555555555556
329,0.8888888888888888,0.8888888888888888
330,1.0,0.5555555555555556
331,1.0,0.5555555555555556
332,0.8888888888888888,0.4444444444444444
333,0.7777777777777778,0.4444444444444444
334,1.0,0.3333333333333333
335,1.0,0.8888888888888888
336,0.7777777777777778,0.4444444444444444
337,1.0,0.8888888888888888
338,1.0,0.8888888888888888
339,1.0,1.0
340,1.0,1.0
341,1.0,1.0
342,0.8888888888888888,0.5555555555555556
343,0.8888888888888888,0.5555555555555556
344,1.0,0.8888888888888888
345,0.8888888888888888,0.6666666666666666
346,0.8888888888888888,0.8888888888888888
347,1.0,0.8888888888888888
348,1.0,1.0
349,1.0,1.0
350,1.0,1.0
351,0.6666666666666666,0.1111111111111111
352,0.6666666666666666,0.4444444444444444
353,1.0,0.8888888888888888
354,0.6666666666666666,0.4444444444444444
355,0.8888888888888888,0.5555555555555556
356,0.8888888888888888,0.6666666666666666
357,0.6666666666666666,0.3333333333333333
358,0.7777777777777778,0.3333333333333333
359,0.6666666666666666,0.2222222222222222
360,0.6666666666666666,0.2222222222222222
361,0.7777777777777778,0.4444444444444444
362,1.0,0.8888888888888888
363,0.7777777777777778,0.3333333333333333
364,1.0,0.5555555555555556
365,1.0,0.7777777777777778
366,1.0,1.0
367,1.0,0.8888888888888888
368,1.0,0.8888888888888888
369,0.7777777777777778,0.2222222222222222
