,raw,floored
0,0.6778,0.7036
1,0.7152,0.7557
2,0.7192,0.7879
3,0.6744,0.6949
4,0.6826,0.7186
5,0.7196,0.7765
6,0.7088,0.7324
7,0.6992,0.7337
8,0.6985,0.735
9,0.7014,0.7414
10,0.7169,0.7845
11,0.7083,0.7997
12,0.6821,0.7188
13,0.7072,0.7624
14,0.7033,0.7961
15,0.7121,0.7615
16,0.6974,0.7644
17,0.689,0.7646
18,0.6719,0.7706
19,0.6753,0.8027
20,0.6632,0.8029
21,0.6678,0.7813
22,0.6001,0.7953
23,0.6291,0.8015
24,0.6405,0.8023
25,0.6299,0.8027
26,0.6289,0.8025
27,0.6775,0.703
28,0.7129,0.7507
29,0.7308,0.784
30,0.6703,0.695
31,0.6788,0.7139
32,0.737,0.774
33,0.7115,0.723
34,0.7091,0.7251
35,0.7124,0.7265
36,0.7038,0.7377
37,0.725,0.7796
38,0.7208,0.7963
39,0.6882,0.7187
40,0.7188,0.7604
41,0.7308,0.7937
42,0.7209,0.7544
43,0.7088,0.7599
44,0.7107,0.7609
45,0.7135,0.7764
46,0.6825,0.8008
47,0.6441,0.7999
48,0.6737,0.7818
49,0.647,0.7939
50,0.6577,0.7997
51,0.7198,0.7985
52,0.7016,0.799
53,0.6851,0.798
54,0.6724,0.6951
55,0.7203,0.7528
56,0.7457,0.7849
57,0.6588,0.6771
58,0.6998,0.7193
59,0.7545,0.7816
60,0.7122,0.7234
61,0.7163,0.7272
62,0.7199,0.7273
63,0.7104,0.7366
64,0.7379,0.7854
65,0.7483,0.7933
66,0.7021,0.7264
67,0.7291,0.7601
68,0.7507,0.7928
69,0.7306,0.7567
70,0.7257,0.7599
71,0.727,0.7607
72,0.7227,0.7694
73,0.7056,0.7941
74,0.6857,0.7944
75,0.7037,0.7819
76,0.7045,0.7921
77,0.7028,0.7933
78,0.7513,0.7952
79,0.7301,0.7937
80,0.7134,0.7932
81,0.26,0.07
82,0.34,0.09
83,0.41,0.11
84,0.19,0.08
85,0.22,0.07
86,0.42,0.14
87,0.2,0.11
88,0.36,0.14
89,0.33,0.1
90,0.28,0.08
91,0.38,0.1
92,0.45,0.12
93,0.39,0.08
94,0.46,0.11
95,0.53,0.09
96,0.5,0.19
97,0.59,0.15
98,0.71,0.21
99,0.33,0.08
100,0.52,0.12
101,0.6,0.14
102,0.49,0.09
103,0.65,0.11
104,0.71,0.12
105,0.8,0.23
106,0.82,0.22
107,0.8,0.2
108,0.24,0.07
109,0.36,0.08
110,0.48,0.1
111,0.24,0.07
112,0.22,0.09
113,0.54,0.16
114,0.35,0.13
115,0.39,0.08
116,0.42,0.08
117,0.32,0.07
118,0.39,0.08
119,0.54,0.14
120,0.23,0.07
121,0.55,0.13
122,0.65,0.1
123,0.55,0.16
124,0.64,0.16
125,0.74,0.11
126,0.48,0.08
127,0.5,0.12
128,0.63,0.11
129,0.5,0.08
130,0.65,0.1
131,0.72,0.11
132,0.84,0.18
133,0.85,0.17
134,0.86,0.17
135,0.23,0.07
136,0.41,0.08
137,0.45,0.09
138,0.27,0.07
139,0.18,0.07
140,0.42,0.13
141,0.25,0.08
142,0.36,0.09
143,0.36,0.09
144,0.38,0.07
145,0.32,0.08
146,0.55,0.1
147,0.3,0.07
148,0.34,0.09
149,0.6,0.12
150,0.35,0.11
151,0.56,0.1
152,0.69,0.09
153,0.41,0.07
154,0.5,0.09
155,0.65,0.1
156,0.54,0.08
157,0.71,0.1
158,0.81,0.1
159,0.81,0.18
160,0.87,0.12
161,0.83,0.11
162,0.47,0.29
163,0.65,0.39
164,0.73,0.39
165,0.36,0.29
166,0.54,0.31
167,0.63,0.34
168,0.65,0.35
169,0.7,0.33
170,0.7,0.35
171,0.54,0.35
172,0.73,0.42
173,0.76,0.39
174,0.5,0.35
175,0.68,0.35
176,0.76,0.36
177,0.73,0.37
178,0.77,0.37
179,0.77,0.38
180,0.63,0.35
181,0.74,0.39
182,0.77,0.38
183,0.63,0.35
184,0.74,0.37
185,0.71,0.37
186,0.78,0.37
187,0.8,0.37
188,0.8,0.37
189,0.42,0.26
190,0.63,0.34
191,0.7,0.35
192,0.37,0.3
193,0.48,0.31
194,0.64,0.35
195,0.46,0.33
196,0.51,0.3
197,0.6,0.31
198,0.53,0.26
199,0.69,0.36
200,0.71,0.33
201,0.51,0.27
202,0.64,0.31
203,0.68,0.33
204,0.65,0.33
205,0.69,0.34
206,0.8,0.33
207,0.59,0.32
208,0.72,0.38
209,0.75,0.37
210,0.68,0.32
211,0.74,0.35
212,0.74,0.37
213,0.75,0.33
214,0.76,0.36
215,0.74,0.36
216,0.31,0.25
217,0.58,0.33
218,0.56,0.35
219,0.41,0.31
220,0.34,0.26
221,0.5,0.34
222,0.44,0.33
223,0.35,0.3
224,0.42,0.3
225,0.45,0.23
226,0.69,0.34
227,0.68,0.32
228,0.47,0.29
229,0.58,0.32
230,0.64,0.32
231,0.53,0.32
232,0.68,0.35
233,0.66,0.31
234,0.6,0.28
235,0.67,0.32
236,0.73,0.32
237,0.65,0.31
238,0.75,0.32
239,0.73,0.34
240,0.65,0.35
241,0.72,0.36
242,0.75,0.35
243,0.21,0.21
244,0.42,0.25
245,0.6,0.32
246,0.29,0.24
247,0.41,0.23
248,0.56,0.34
249,0.4,0.29
250,0.63,0.34
251,0.7,0.39
252,0.29,0.24
253,0.39,0.3
254,0.57,0.34
255,0.42,0.26
256,0.58,0.36
257,0.64,0.38
258,0.5,0.3
259,0.66,0.41
260,0.6,0.36
261,0.32,0.24
262,0.48,0.3
263,0.61,0.4
264,0.57,0.3
265,0.61,0.29
266,0.63,0.35
267,0.67,0.49
268,0.71,0.44
269,0.67,0.43
270,0.25,0.2
271,0.36,0.24
272,0.61,0.38
273,0.3,0.2
274,0.4,0.25
275,0.52,0.34
276,0.4,0.28
277,0.64,0.31
278,0.64,0.35
279,0.25,0.23
280,0.48,0.26
281,0.62,0.32
282,0.4,0.24
283,0.58,0.34
284,0.66,0.33
285,0.55,0.28
286,0.67,0.34
287,0.65,0.3
288,0.33,0.23
289,0.5,0.3
290,0.64,0.35
291,0.54,0.29
292,0.66,0.31
293,0.65,0.33
294,0.66,0.45
295,0.71,0.4
296,0.68,0.38
297,0.25,0.19
298,0.43,0.28
299,0.6,0.36
300,0.23,0.2
301,0.4,0.25
302,0.6,0.34
303,0.34,0.21
304,0.6,0.28
305,0.6,0.28
306,0.32,0.23
307,0.46,0.26
308,0.56,0.31
309,0.33,0.25
310,0.63,0.33
311,0.69,0.32
312,0.6,0.36
313,0.64,0.31
314,0.72,0.35
315,0.34,0.23
316,0.54,0.29
317,0.68,0.33
318,0.57,0.3
319,0.64,0.3
320,0.68,0.31
321,0.7,0.39
322,0.73,0.38
323,0.7,0.33
324,0.6666666666666666,0.4444444444444444
325,0.8888888888888888,0.4444444444444444
326,1.0,0.7777777777777778
327,0.2222222222222222,0.1111111111111111
328,0.6666666666666666,0.5555555555555556
329,0.6666666666666666,0.4444444444444444
330,0.4444444444444444,0.3333333333333333
331,0.5555555555555556,0.3333333333333333
332,0.6666666666666666,0.3333333333333333
333,0.5555555555555556,0.4444444444444444
334,1.0,0.3333333333333333
335,1.0,0.8888888888888888
336,0.5555555555555556,0.1111111111111111
337,0.7777777777777778,0.6666666666666666
338,1.0,0.8888888888888888
339,1.0,1.0
340,1.0,1.0
341,1.0,1.0
342,0.8888888888888888,0.5555555555555556
343,0.7777777777777778,0.5555555555555556
344,1.0,0.8888888888888888
345,0.7777777777777778,0.6666666666666666
346,0.8888888888888888,0.7777777777777778
347,1.0,0.8888888888888888
348,1.0,1.0
349,1.0,1.0
350,1.0,1.0
351,0.5555555555555556,0.1111111111111111
352,0.6666666666666666,0.4444444444444444
353,0.8888888888888888,0.8888888888888888
354,0.3333333333333333,0.1111111111111111
355,0.5555555555555556,0.3333333333333333
356,0.6666666666666666,0.4444444444444444
357,0.3333333333333333,0.1111111111111111
358,0.6666666666666666,0.1111111111111111
359,0.5555555555555556,0.2222222222222222
360,0.5555555555555556,0.2222222222222222
361,0.7777777777777778,0.3333333333333333
362,0.8888888888888888,0.7777777777777778
363,0.5555555555555556,0.2222222222222222
364,0.7777777777777778,0.5555555555555556
365,0.8888888888888888,0.7777777777777778
366,0.8888888888888888,0.8888888888888888
367,1.0,0.8888888888888888
368,0.8888888888888888,0.8888888888888888
369,0.5555555555555556,0.2222222222222222
370,0.7777777777777778,0.5555555555555556
371,1.0,0.8888888888888888
372,0.7777777777777778,0.6666666666666666
373,0.8888888888888888,0.6666666666666666
374,1.0,0.8888888888888888
375,1.0,1.0
376,1.0,1.0
377,1.0,1.0
378,0.5555555555555556,0.1111111111111111
379,0.6666666666666666,0.3333333333333333
380,0.7777777777777778,0.6666666666666666
381,0.3333333333333333,0.1111111111111111
382,0.6666666666666666,0.2222222222222222
383,0.7777777777777778,0.3333333333333333
384,0.2222222222222222,0.1111111111111111
385,0.5555555555555556,0.0
386,0.5555555555555556,0.2222222222222222
387,0.5555555555555556,0.1111111111111111
388,0.5555555555555556,0.3333333333333333
389,0.7777777777777778,0.6666666666666666
390,0.6666666666666666,0.1111111111111111
391,0.7777777777777778,0.6666666666666666
392,0.7777777777777778,0.6666666666666666
393,0.8888888888888888,0.8888888888888888
394,0.8888888888888888,0.8888888888888888
395,0.8888888888888888,0.6666666666666666
396,0.5555555555555556,0.1111111111111111
397,0.8888888888888888,0.4444444444444444
398,1.0,0.7777777777777778
399,0.7777777777777778,0.4444444444444444
400,0.8888888888888888,0.5555555555555556
401,1.0,0.7777777777777778
402,1.0,1.0
403,1.0,0.8888888888888888
404,1.0,0.8888888888888888
405,0.5555555555555556,0.2222222222222222
406,0.8888888888888888,0.8888888888888888
407,0.8888888888888888,0.7777777777777778
408,0.4444444444444444,0.2222222222222222
409,0.5555555555555556,0.4444444444444444
410,0.8888888888888888,0.6666666666666666
411,0.8888888888888888,0.6666666666666666
412,0.8888888888888888,0.6666666666666666
413,0.8888888888888888,0.7777777777777778
414,0.5555555555555556,0.2222222222222222
415,1.0,0.6666666666666666
416,1.0,0.7777777777777778
417,0.5555555555555556,0.4444444444444444
418,0.8888888888888888,0.6666666666666666
419,0.8888888888888888,0.6666666666666666
420,1.0,0.7777777777777778
421,0.8888888888888888,0.7777777777777778
422,0.8888888888888888,0.7777777777777778
423,0.6666666666666666,0.2222222222222222
424,1.0,0.6666666666666666
425,0.8888888888888888,0.7777777777777778
426,0.8888888888888888,0.4444444444444444
427,0.8888888888888888,0.6666666666666666
428,0.8888888888888888,0.7777777777777778
429,0.8888888888888888,0.7777777777777778
430,0.8888888888888888,0.7777777777777778
431,0.8888888888888888,0.7777777777777778
432,0.5555555555555556,0.2222222222222222
433,0.8888888888888888,0.7777777777777778
434,0.8888888888888888,0.7777777777777778
435,0.3333333333333333,0.2222222222222222
436,0.5555555555555556,0.4444444444444444
437,0.8888888888888888,0.5555555555555556
438,0.7777777777777778,0.6666666666666666
439,0.8888888888888888,0.6666666666666666
440,0.8888888888888888,0.6666666666666666
441,0.4444444444444444,0.2222222222222222
442,0.8888888888888888,0.6666666666666666
443,0.8888888888888888,0.7777777777777778
444,0.5555555555555556,0.1111111111111111
445,0.8888888888888888,0.6666666666666666
446,0.8888888888888888,0.7777777777777778
447,1.0,0.7777777777777778
448,1.0,0.7777777777777778
449,0.8888888888888888,0.7777777777777778
450,0.7777777777777778,0.2222222222222222
451,0.8888888888888888,0.6666666666666666
452,0.8888888888888888,0.7777777777777778
453,0.8888888888888888,0.4444444444444444
454,0.8888888888888888,0.5555555555555556
455,0.8888888888888888,0.6666666666666666
456,0.8888888888888888,0.7777777777777778
457,0.8888888888888888,0.7777777777777778
458,0.8888888888888888,0.7777777777777778
459,0.6666666666666666,0.3333333333333333
460,0.7777777777777778,0.6666666666666666
461,0.7777777777777778,0.6666666666666666
462,0.3333333333333333,0.1111111111111111
463,0.8888888888888888,0.5555555555555556
464,0.8888888888888888,0.6666666666666666
465,0.7777777777777778,0.6666666666666666
466,0.8888888888888888,0.7777777777777778
467,0.8888888888888888,0.6666666666666666
468,0.4444444444444444,0.2222222222222222
469,0.8888888888888888,0.5555555555555556
470,0.8888888888888888,0.7777777777777778
471,0.5555555555555556,0.1111111111111111
472,0.8888888888888888,0.7777777777777778
473,0.8888888888888888,0.5555555555555556
474,1.0,0.6666666666666666
475,0.8888888888888888,0.7777777777777778
476,0.8888888888888888,0.7777777777777778
477,0.6666666666666666,0.2222222222222222
478,0.8888888888888888,0.5555555555555556
479,0.8888888888888888,0.7777777777777778
480,0.8888888888888888,0.4444444444444444
481,0.8888888888888888,0.4444444444444444
482,0.8888888888888888,0.7777777777777778
483,1.0,0.7777777777777778
484,0.8888888888888888,0.7777777777777778
485,0.8888888888888888,0.7777777777777778
486,0.5555555555555556,0.2222222222222222
487,0.8888888888888888,0.6666666666666666
488,1.0,0.8888888888888888
489,0.4444444444444444,0.2222222222222222
490,0.7777777777777778,0.2222222222222222
491,0.8888888888888888,0.5555555555555556
492,0.8888888888888888,0.6666666666666666
493,1.0,1.0
494,1.0,1.0
495,0.6666666666666666,0.3333333333333333
496,0.8888888888888888,0.7777777777777778
497,1.0,0.8888888888888888
498,0.3333333333333333,0.1111111111111111
499,1.0,0.8888888888888888
500,1.0,1.0
501,1.0,1.0
502,1.0,1.0
503,1.0,1.0
504,0.6666666666666666,0.3333333333333333
505,0.8888888888888888,0.7777777777777778
506,1.0,0.8888888888888888
507,0.8888888888888888,0.4444444444444444
508,1.0,0.7777777777777778
509,1.0,1.0
510,1.0,1.0
511,1.0,1.0
512,1.0,1.0
513,0.5555555555555556,0.2222222222222222
514,0.6666666666666666,0.5555555555555556
515,1.0,0.8888888888888888
516,0.2222222222222222,0.1111111111111111
517,1.0,0.4444444444444444
518,1.0,0.6666666666666666
519,0.6666666666666666,0.5555555555555556
520,1.0,1.0
521,0.7777777777777778,0.6666666666666666
522,0.5555555555555556,0.1111111111111111
523,0.7777777777777778,0.5555555555555556
524,1.0,0.8888888888888888
525,0.6666666666666666,0.2222222222222222
526,1.0,0.7777777777777778
527,1.0,1.0
528,1.0,1.0
529,1.0,1.0
530,1.0,1.0
531,0.6666666666666666,0.1111111111111111
532,0.8888888888888888,0.6666666666666666
533,1.0,1.0
534,1.0,0.5555555555555556
535,1.0,0.7777777777777778
536,1.0,1.0
537,1.0,1.0
538,1.0,1.0
539,1.0,1.0
540,0.4444444444444444,0.1111111111111111
541,0.6666666666666666,0.5555555555555556
542,0.8888888888888888,0.6666666666666666
543,0.1111111111111111,0.1111111111111111
544,1.0,0.4444444444444444
545,1.0,0.6666666666666666
546,0.6666666666666666,0.4444444444444444
547,0.8888888888888888,0.5555555555555556
548,0.7777777777777778,0.6666666666666666
549,0.5555555555555556,0.1111111111111111
550,0.7777777777777778,0.4444444444444444
551,1.0,1.0
552,0.5555555555555556,0.1111111111111111
553,1.0,0.6666666666666666
554,1.0,0.8888888888888888
555,1.0,1.0
556,1.0,1.0
557,1.0,1.0
558,0.4444444444444444,0.1111111111111111
559,0.8888888888888888,0.4444444444444444
560,1.0,1.0
561,0.8888888888888888,0.3333333333333333
562,0.8888888888888888,0.6666666666666666
563,1.0,1.0
564,1.0,1.0
565,1.0,1.0
566,1.0,1.0
567,0.2895,0.3007
568,0.2984,0.3179
569,0.314,0.3421
570,0.2874,0.3007
571,0.2971,0.3178
572,0.3122,0.3333
573,0.2852,0.2937
574,0.3136,0.3254
575,0.3241,0.3334
576,0.3042,0.3182
577,0.3171,0.3422
578,0.3056,0.3445
579,0.2996,0.3179
580,0.3072,0.3329
581,0.3154,0.3495
582,0.2861,0.317
583,0.2982,0.3341
584,0.2892,0.3334
585,0.3167,0.3413
586,0.3128,0.3591
587,0.3166,0.3756
588,0.3109,0.3416
589,0.3064,0.3572
590,0.319,0.3838
591,0.3004,0.3512
592,0.3027,0.3594
593,0.2964,0.3596
594,0.241,0.2529
595,0.3048,0.3262
596,0.3244,0.3489
597,0.2558,0.2676
598,0.2831,0.3157
599,0.311,0.3324
600,0.2572,0.2605
601,0.3145,0.3173
602,0.3525,0.3562
603,0.2861,0.3085
604,0.3136,0.3418
605,0.3257,0.3496
606,0.2818,0.3012
607,0.3267,0.348
608,0.3253,0.3553
609,0.292,0.3156
610,0.3162,0.3483
611,0.3221,0.3555
612,0.3115,0.3493
613,0.3085,0.3559
614,0.3327,0.38
615,0.3118,0.3487
616,0.3175,0.3631
617,0.3442,0.4033
618,0.3334,0.3651
619,0.3307,0.3716
620,0.3354,0.3798
621,0.2317,0.2449
622,0.2825,0.3021
623,0.3313,0.3489
624,0.2403,0.2452
625,0.3074,0.3234
626,0.3231,0.3328
627,0.243,0.2449
628,0.3203,0.3232
629,0.3387,0.3398
630,0.2653,0.2853
631,0.3167,0.3419
632,0.3312,0.3561
633,0.292,0.3009
634,0.3365,0.3492
635,0.3389,0.3627
636,0.3059,0.3177
637,0.3322,0.348
638,0.3443,0.3561
639,0.3219,0.3562
640,0.343,0.3867
641,0.3841,0.4265
642,0.3348,0.3636
643,0.3569,0.3878
644,0.3936,0.4337
645,0.3444,0.3629
646,0.3773,0.4033
647,0.3819,0.4197
648,0.25,0.07
649,0.4,0.08
650,0.4,0.12
651,0.23,0.07
652,0.23,0.1
653,0.29,0.1
654,0.16,0.07
655,0.31,0.13
656,0.29,0.12
657,0.31,0.07
658,0.4,0.07
659,0.47,0.12
660,0.42,0.08
661,0.46,0.08
662,0.43,0.12
663,0.34,0.08
664,0.47,0.14
665,0.6,0.16
666,0.37,0.07
667,0.49,0.08
668,0.55,0.11
669,0.46,0.08
670,0.6,0.1
671,0.67,0.1
672,0.83,0.19
673,0.82,0.17
674,0.79,0.17
675,0.23,0.07
676,0.35,0.08
677,0.48,0.1
678,0.25,0.07
679,0.22,0.1
680,0.46,0.12
681,0.35,0.14
682,0.4,0.08
683,0.39,0.08
684,0.28,0.07
685,0.38,0.08
686,0.51,0.09
687,0.26,0.07
688,0.43,0.09
689,0.58,0.1
690,0.43,0.09
691,0.48,0.11
692,0.64,0.11
693,0.44,0.07
694,0.56,0.09
695,0.6,0.12
696,0.42,0.08
697,0.65,0.08
698,0.75,0.1
699,0.81,0.19
700,0.83,0.13
701,0.82,0.13
702,0.24,0.07
703,0.34,0.07
704,0.45,0.08
705,0.29,0.07
706,0.28,0.07
707,0.52,0.07
708,0.19,0.08
709,0.25,0.07
710,0.43,0.09
711,0.4,0.07
712,0.35,0.07
713,0.56,0.07
714,0.28,0.07
715,0.42,0.07
716,0.53,0.08
717,0.32,0.07
718,0.52,0.09
719,0.63,0.09
720,0.43,0.07
721,0.54,0.07
722,0.6,0.1
723,0.45,0.07
724,0.68,0.09
725,0.74,0.1
726,0.81,0.15
727,0.84,0.13
728,0.76,0.1
729,0.44,0.25
730,0.65,0.35
731,0.71,0.38
732,0.35,0.25
733,0.57,0.32
734,0.65,0.34
735,0.56,0.27
736,0.7,0.36
737,0.68,0.34
738,0.5,0.33
739,0.67,0.36
740,0.77,0.38
741,0.47,0.23
742,0.66,0.36
743,0.75,0.37
744,0.72,0.37
745,0.75,0.37
746,0.76,0.35
747,0.62,0.35
748,0.75,0.37
749,0.73,0.39
750,0.65,0.31
751,0.72,0.36
752,0.76,0.37
753,0.81,0.38
754,0.78,0.37
755,0.79,0.37
756,0.4,0.23
757,0.61,0.31
758,0.61,0.33
759,0.37,0.27
760,0.52,0.3
761,0.59,0.31
762,0.44,0.25
763,0.5,0.29
764,0.58,0.3
765,0.47,0.23
766,0.71,0.33
767,0.75,0.34
768,0.58,0.29
769,0.6,0.31
770,0.71,0.33
771,0.58,0.3
772,0.7,0.35
773,0.72,0.33
774,0.55,0.25
775,0.72,0.36
776,0.73,0.36
777,0.67,0.29
778,0.73,0.33
779,0.77,0.37
780,0.72,0.33
781,0.75,0.36
782,0.74,0.36
783,0.32,0.25
784,0.49,0.28
785,0.52,0.31
786,0.28,0.22
787,0.36,0.24
788,0.52,0.3
789,0.34,0.27
790,0.31,0.27
791,0.37,0.27
792,0.4,0.24
793,0.63,0.3
794,0.65,0.32
795,0.44,0.23
796,0.57,0.27
797,0.65,0.3
798,0.49,0.29
799,0.61,0.31
800,0.67,0.32
801,0.62,0.23
802,0.72,0.31
803,0.76,0.31
804,0.67,0.3
805,0.68,0.31
806,0.75,0.34
807,0.67,0.35
808,0.71,0.34
809,0.76,0.34
810,0.18,0.19
811,0.35,0.22
812,0.53,0.3
813,0.27,0.2
814,0.31,0.22
815,0.58,0.32
816,0.37,0.24
817,0.59,0.31
818,0.62,0.34
819,0.2,0.19
820,0.36,0.28
821,0.49,0.27
822,0.39,0.25
823,0.5,0.26
824,0.55,0.3
825,0.5,0.28
826,0.61,0.36
827,0.62,0.35
828,0.35,0.23
829,0.42,0.27
830,0.65,0.31
831,0.48,0.24
832,0.58,0.3
833,0.68,0.33
834,0.67,0.41
835,0.69,0.36
836,0.69,0.35
837,0.19,0.19
838,0.3,0.23
839,0.51,0.25
840,0.23,0.19
841,0.31,0.22
842,0.5,0.28
843,0.38,0.26
844,0.52,0.26
845,0.52,0.24
846,0.18,0.19
847,0.35,0.23
848,0.54,0.27
849,0.37,0.22
850,0.53,0.26
851,0.61,0.26
852,0.48,0.28
853,0.67,0.28
854,0.61,0.31
855,0.27,0.23
856,0.4,0.24
857,0.6,0.3
858,0.5,0.24
859,0.62,0.26
860,0.66,0.29
861,0.66,0.39
862,0.69,0.33
863,0.69,0.32
864,0.25,0.19
865,0.38,0.22
866,0.49,0.24
867,0.25,0.19
868,0.33,0.22
869,0.49,0.27
870,0.36,0.22
871,0.53,0.23
872,0.53,0.24
873,0.23,0.19
874,0.39,0.23
875,0.54,0.26
876,0.34,0.23
877,0.44,0.22
878,0.56,0.25
879,0.58,0.32
880,0.69,0.28
881,0.73,0.29
882,0.27,0.23
883,0.47,0.23
884,0.65,0.27
885,0.54,0.24
886,0.62,0.25
887,0.67,0.3
888,0.7,0.34
889,0.75,0.33
890,0.71,0.33
891,0.6666666666666666,0.4444444444444444
892,0.8888888888888888,0.4444444444444444
893,1.0,0.7777777777777778
894,0.2222222222222222,0.1111111111111111
895,0.6666666666666666,0.5555555555555556
896,0.6666666666666666,0.4444444444444444
897,0.4444444444444444,0.3333333333333333
898,0.5555555555555556,0.3333333333333333
899,0.6666666666666666,0.3333333333333333
900,0.5555555555555556,0.4444444444444444
901,1.0,0.3333333333333333
902,1.0,0.8888888888888888
903,0.5555555555555556,0.1111111111111111
904,0.7777777777777778,0.6666666666666666
905,0.8888888888888888,0.7777777777777778
906,1.0,1.0
907,1.0,1.0
908,1.0,1.0
909,0.8888888888888888,0.5555555555555556
910,0.7777777777777778,0.5555555555555556
911,1.0,0.8888888888888888
912,0.7777777777777778,0.6666666666666666
913,0.8888888888888888,0.7777777777777778
914,1.0,0.8888888888888888
915,1.0,1.0
916,1.0,1.0
917,1.0,1.0
918,0.5555555555555556,0.1111111111111111
919,0.6666666666666666,0.4444444444444444
920,0.8888888888888888,0.8888888888888888
921,0.3333333333333333,0.1111111111111111
922,0.4444444444444444,0.2222222222222222
923,0.6666666666666666,0.4444444444444444
924,0.3333333333333333,0.1111111111111111
925,0.6666666666666666,0.1111111111111111
926,0.5555555555555556,0.2222222222222222
927,0.5555555555555556,0.2222222222222222
928,0.7777777777777778,0.3333333333333333
929,0.8888888888888888,0.7777777777777778
930,0.5555555555555556,0.2222222222222222
931,0.7777777777777778,0.6666666666666666
932,0.7777777777777778,0.6666666666666666
933,0.8888888888888888,0.8888888888888888
934,1.0,0.8888888888888888
935,0.8888888888888888,0.8888888888888888
936,0.5555555555555556,0.2222222222222222
937,0.7777777777777778,0.5555555555555556
938,1.0,0.8888888888888888
939,0.7777777777777778,0.5555555555555556
940,0.7777777777777778,0.6666666666666666
941,1.0,0.8888888888888888
942,1.0,1.0
943,1.0,1.0
944,1.0,1.0
945,0.5555555555555556,0.1111111111111111
946,0.6666666666666666,0.3333333333333333
947,0.7777777777777778,0.6666666666666666
