,raw,floored
0,0.1246,0.7035
1,0.1029,0.7536
2,0.1087,0.7853
3,0.1156,0.6957
4,0.1014,0.7198
5,0.1086,0.7774
6,0.1248,0.7366
7,0.1255,0.7367
8,0.1252,0.7367
9,0.119,0.7366
10,0.1085,0.778
11,0.1087,0.7952
12,0.1065,0.7198
13,0.1055,0.762
14,0.1095,0.795
15,0.1044,0.7621
16,0.1046,0.7626
17,0.1038,0.7627
18,0.1165,0.7682
19,0.1104,0.8014
20,0.1066,0.8019
21,0.1103,0.7872
22,0.1056,0.7978
23,0.1063,0.8001
24,0.1073,0.8003
25,0.1086,0.801
26,0.1064,0.8011
27,0.124,0.7035
28,0.1036,0.7535
29,0.1103,0.785
30,0.1114,0.6957
31,0.0998,0.7198
32,0.1057,0.7769
33,0.1212,0.7285
34,0.1218,0.7286
35,0.1244,0.7286
36,0.1242,0.7366
37,0.1075,0.7775
38,0.111,0.794
39,0.1051,0.7198
40,0.1037,0.7617
41,0.1086,0.7938
42,0.1019,0.762
43,0.1054,0.7623
44,0.1044,0.7618
45,0.119,0.7735
46,0.1071,0.797
47,0.1041,0.7975
48,0.1082,0.7847
49,0.107,0.7921
50,0.1038,0.7927
51,0.1061,0.7946
52,0.1078,0.7942
53,0.1078,0.7938
54,0.1147,0.6957
55,0.106,0.7535
56,0.109,0.7849
57,0.1068,0.6788
58,0.1005,0.7198
59,0.1074,0.7849
60,0.1202,0.7279
61,0.1201,0.7285
62,0.1214,0.7286
63,0.1224,0.7366
64,0.1081,0.785
65,0.1116,0.7925
66,0.105,0.7284
67,0.1049,0.7615
68,0.1097,0.7927
69,0.1005,0.7613
70,0.1053,0.7617
71,0.1046,0.7617
72,0.1171,0.7691
73,0.1055,0.7926
74,0.1057,0.7921
75,0.1104,0.7849
76,0.1075,0.792
77,0.1075,0.7923
78,0.1054,0.7936
79,0.1071,0.7931
80,0.1067,0.7928
81,0.51,0.07
82,0.57,0.07
83,0.58,0.1
84,0.5,0.07
85,0.65,0.07
86,0.67,0.09
87,0.65,0.07
88,0.64,0.09
89,0.64,0.09
90,0.54,0.07
91,0.59,0.09
92,0.66,0.12
93,0.52,0.07
94,0.72,0.07
95,0.75,0.09
96,0.72,0.18
97,0.83,0.15
98,0.84,0.16
99,0.64,0.08
100,0.54,0.14
101,0.61,0.14
102,0.68,0.09
103,0.72,0.1
104,0.74,0.12
105,0.82,0.22
106,0.85,0.21
107,0.85,0.21
108,0.58,0.07
109,0.51,0.07
110,0.63,0.09
111,0.57,0.07
112,0.64,0.07
113,0.67,0.12
114,0.63,0.1
115,0.69,0.08
116,0.68,0.08
117,0.6,0.07
118,0.55,0.08
119,0.66,0.12
120,0.6,0.07
121,0.62,0.12
122,0.79,0.1
123,0.73,0.13
124,0.79,0.11
125,0.79,0.1
126,0.59,0.08
127,0.56,0.12
128,0.65,0.11
129,0.7,0.09
130,0.72,0.1
131,0.77,0.11
132,0.86,0.17
133,0.86,0.16
134,0.86,0.15
135,0.5,0.07
136,0.6,0.07
137,0.67,0.08
138,0.52,0.07
139,0.64,0.07
140,0.7,0.11
141,0.65,0.1
142,0.7,0.07
143,0.68,0.07
144,0.5,0.07
145,0.53,0.07
146,0.63,0.1
147,0.64,0.07
148,0.64,0.08
149,0.76,0.1
150,0.7,0.09
151,0.76,0.1
152,0.77,0.09
153,0.59,0.07
154,0.58,0.09
155,0.68,0.1
156,0.68,0.08
157,0.76,0.1
158,0.82,0.1
159,0.83,0.16
160,0.86,0.12
161,0.85,0.1
162,0.48,0.26
163,0.63,0.34
164,0.67,0.37
165,0.53,0.24
166,0.61,0.31
167,0.68,0.39
168,0.6,0.24
169,0.66,0.28
170,0.68,0.3
171,0.58,0.3
172,0.7,0.39
173,0.72,0.39
174,0.59,0.3
175,0.7,0.32
176,0.71,0.34
177,0.67,0.32
178,0.74,0.36
179,0.73,0.37
180,0.63,0.34
181,0.71,0.39
182,0.74,0.38
183,0.64,0.34
184,0.71,0.37
185,0.73,0.37
186,0.75,0.37
187,0.75,0.37
188,0.75,0.37
189,0.39,0.24
190,0.6,0.29
191,0.67,0.35
192,0.49,0.26
193,0.56,0.27
194,0.64,0.33
195,0.45,0.25
196,0.63,0.3
197,0.66,0.3
198,0.58,0.27
199,0.68,0.34
200,0.68,0.35
201,0.54,0.27
202,0.69,0.32
203,0.7,0.32
204,0.67,0.34
205,0.71,0.32
206,0.72,0.32
207,0.64,0.32
208,0.73,0.39
209,0.73,0.37
210,0.7,0.31
211,0.71,0.34
212,0.72,0.37
213,0.73,0.34
214,0.74,0.36
215,0.73,0.36
216,0.47,0.23
217,0.59,0.33
218,0.62,0.33
219,0.43,0.26
220,0.54,0.24
221,0.59,0.33
222,0.42,0.24
223,0.44,0.3
224,0.57,0.29
225,0.55,0.22
226,0.66,0.34
227,0.67,0.33
228,0.53,0.26
229,0.65,0.31
230,0.66,0.32
231,0.53,0.31
232,0.67,0.33
233,0.69,0.31
234,0.61,0.28
235,0.72,0.34
236,0.73,0.32
237,0.68,0.31
238,0.73,0.32
239,0.73,0.34
240,0.71,0.35
241,0.72,0.36
242,0.74,0.35
243,0.38,0.2
244,0.56,0.24
245,0.63,0.35
246,0.34,0.19
247,0.57,0.27
248,0.62,0.34
249,0.48,0.25
250,0.66,0.35
251,0.66,0.37
252,0.38,0.23
253,0.49,0.29
254,0.61,0.31
255,0.48,0.25
256,0.57,0.32
257,0.63,0.36
258,0.63,0.32
259,0.65,0.42
260,0.69,0.45
261,0.39,0.24
262,0.48,0.33
263,0.62,0.4
264,0.57,0.3
265,0.6,0.3
266,0.64,0.35
267,0.66,0.48
268,0.68,0.45
269,0.68,0.44
270,0.39,0.2
271,0.52,0.23
272,0.61,0.39
273,0.37,0.19
274,0.55,0.23
275,0.63,0.33
276,0.47,0.25
277,0.6,0.27
278,0.63,0.32
279,0.39,0.23
280,0.54,0.26
281,0.62,0.29
282,0.45,0.26
283,0.59,0.34
284,0.65,0.32
285,0.65,0.29
286,0.68,0.33
287,0.7,0.33
288,0.37,0.23
289,0.53,0.31
290,0.64,0.35
291,0.61,0.29
292,0.65,0.3
293,0.66,0.33
294,0.68,0.43
295,0.69,0.4
296,0.7,0.37
297,0.34,0.19
298,0.49,0.26
299,0.59,0.37
300,0.4,0.2
301,0.54,0.25
302,0.67,0.29
303,0.41,0.19
304,0.58,0.28
305,0.65,0.25
306,0.43,0.23
307,0.51,0.26
308,0.62,0.31
309,0.42,0.26
310,0.66,0.3
311,0.69,0.3
312,0.66,0.33
313,0.68,0.3
314,0.69,0.3
315,0.43,0.23
316,0.54,0.29
317,0.66,0.33
318,0.57,0.29
319,0.62,0.3
320,0.66,0.3
321,0.68,0.39
322,0.71,0.39
323,0.71,0.33
324,0.5555555555555556,0.1111111111111111
325,0.7777777777777778,0.4444444444444444
326,1.0,0.7777777777777778
327,0.5555555555555556,0.1111111111111111
328,0.7777777777777778,0.2222222222222222
329,0.8888888888888888,0.3333333333333333
330,0.7777777777777778,0.0
331,0.8888888888888888,0.0
332,0.8888888888888888,0.0
333,0.5555555555555556,0.1111111111111111
334,0.8888888888888888,0.3333333333333333
335,1.0,0.8888888888888888
336,0.7777777777777778,0.1111111111111111
337,0.7777777777777778,0.2222222222222222
338,0.8888888888888888,0.7777777777777778
339,1.0,1.0
340,1.0,1.0
341,1.0,0.8888888888888888
342,0.8888888888888888,0.4444444444444444
343,0.7777777777777778,0.5555555555555556
344,1.0,0.8888888888888888
345,0.8888888888888888,0.4444444444444444
346,0.7777777777777778,0.6666666666666666
347,1.0,0.8888888888888888
348,1.0,1.0
349,1.0,1.0
350,1.0,1.0
351,0.5555555555555556,0.0
352,0.6666666666666666,0.3333333333333333
353,0.7777777777777778,0.7777777777777778
354,0.5555555555555556,0.1111111111111111
355,0.7777777777777778,0.0
356,0.7777777777777778,0.3333333333333333
357,0.7777777777777778,0.1111111111111111
358,1.0,0.0
359,0.8888888888888888,0.2222222222222222
360,0.5555555555555556,0.1111111111111111
361,0.7777777777777778,0.3333333333333333
362,0.8888888888888888,0.6666666666666666
363,0.7777777777777778,0.1111111111111111
364,0.7777777777777778,0.2222222222222222
365,0.8888888888888888,0.7777777777777778
366,0.7777777777777778,0.7777777777777778
367,0.7777777777777778,0.5555555555555556
368,0.8888888888888888,0.8888888888888888
369,0.6666666666666666,0.2222222222222222
370,0.7777777777777778,0.5555555555555556
371,1.0,0.8888888888888888
372,0.8888888888888888,0.2222222222222222
373,0.7777777777777778,0.6666666666666666
374,1.0,0.8888888888888888
375,1.0,1.0
376,1.0,1.0
377,1.0,1.0
378,0.5555555555555556,0.0
379,0.6666666666666666,0.3333333333333333
380,0.7777777777777778,0.4444444444444444
381,0.5555555555555556,0.1111111111111111
382,0.7777777777777778,0.0
383,0.7777777777777778,0.3333333333333333
384,0.7777777777777778,0.1111111111111111
385,0.7777777777777778,0.0
386,0.7777777777777778,0.1111111111111111
387,0.5555555555555556,0.0
388,0.6666666666666666,0.3333333333333333
389,0.7777777777777778,0.6666666666666666
390,0.7777777777777778,0.0
391,0.7777777777777778,0.2222222222222222
392,0.8888888888888888,0.6666666666666666
393,0.7777777777777778,0.2222222222222222
394,0.7777777777777778,0.1111111111111111
395,0.8888888888888888,0.7777777777777778
396,0.5555555555555556,0.1111111111111111
397,0.8888888888888888,0.3333333333333333
398,1.0,0.7777777777777778
399,0.8888888888888888,0.1111111111111111
400,0.8888888888888888,0.5555555555555556
401,1.0,0.7777777777777778
402,1.0,1.0
403,1.0,0.8888888888888888
404,1.0,0.8888888888888888
405,0.6666666666666666,0.2222222222222222
406,0.8888888888888888,0.6666666666666666
407,0.8888888888888888,0.7777777777777778
408,0.7777777777777778,0.2222222222222222
409,0.6666666666666666,0.4444444444444444
410,0.8888888888888888,0.4444444444444444
411,0.7777777777777778,0.6666666666666666
412,0.7777777777777778,0.5555555555555556
413,0.8888888888888888,0.7777777777777778
414,0.7777777777777778,0.2222222222222222
415,0.8888888888888888,0.6666666666666666
416,0.8888888888888888,0.7777777777777778
417,0.7777777777777778,0.1111111111111111
418,0.8888888888888888,0.5555555555555556
419,0.8888888888888888,0.6666666666666666
420,0.8888888888888888,0.7777777777777778
421,0.8888888888888888,0.7777777777777778
422,0.8888888888888888,0.7777777777777778
423,0.6666666666666666,0.2222222222222222
424,0.8888888888888888,0.7777777777777778
425,0.8888888888888888,0.7777777777777778
426,0.8888888888888888,0.3333333333333333
427,0.8888888888888888,0.6666666666666666
428,0.8888888888888888,0.7777777777777778
429,0.8888888888888888,0.7777777777777778
430,0.8888888888888888,0.7777777777777778
431,0.8888888888888888,0.7777777777777778
432,0.6666666666666666,0.2222222222222222
433,0.8888888888888888,0.7777777777777778
434,0.8888888888888888,0.6666666666666666
435,0.6666666666666666,0.2222222222222222
436,0.8888888888888888,0.4444444444444444
437,0.8888888888888888,0.4444444444444444
438,0.7777777777777778,0.6666666666666666
439,0.7777777777777778,0.5555555555555556
440,0.8888888888888888,0.6666666666666666
441,0.6666666666666666,0.2222222222222222
442,0.8888888888888888,0.6666666666666666
443,0.8888888888888888,0.7777777777777778
444,0.8888888888888888,0.1111111111111111
445,0.8888888888888888,0.4444444444444444
446,0.8888888888888888,0.7777777777777778
447,0.8888888888888888,0.7777777777777778
448,0.8888888888888888,0.7777777777777778
449,0.8888888888888888,0.7777777777777778
450,0.7777777777777778,0.2222222222222222
451,0.8888888888888888,0.5555555555555556
452,0.8888888888888888,0.7777777777777778
453,0.8888888888888888,0.3333333333333333
454,0.8888888888888888,0.5555555555555556
455,0.8888888888888888,0.6666666666666666
456,0.8888888888888888,0.7777777777777778
457,0.8888888888888888,0.7777777777777778
458,0.8888888888888888,0.7777777777777778
459,0.6666666666666666,0.3333333333333333
460,0.7777777777777778,0.6666666666666666
461,0.7777777777777778,0.6666666666666666
462,0.6666666666666666,0.1111111111111111
463,0.8888888888888888,0.3333333333333333
464,0.8888888888888888,0.4444444444444444
465,0.7777777777777778,0.5555555555555556
466,0.8888888888888888,0.4444444444444444
467,0.7777777777777778,0.4444444444444444
468,0.5555555555555556,0.2222222222222222
469,0.8888888888888888,0.5555555555555556
470,0.8888888888888888,0.7777777777777778
471,0.7777777777777778,0.1111111111111111
472,0.8888888888888888,0.7777777777777778
473,0.8888888888888888,0.6666666666666666
474,0.8888888888888888,0.6666666666666666
475,0.8888888888888888,0.7777777777777778
476,0.8888888888888888,0.7777777777777778
477,0.7777777777777778,0.2222222222222222
478,0.8888888888888888,0.5555555555555556
479,0.8888888888888888,0.7777777777777778
480,0.8888888888888888,0.3333333333333333
481,0.8888888888888888,0.4444444444444444
482,0.8888888888888888,0.7777777777777778
483,0.8888888888888888,0.7777777777777778
484,0.8888888888888888,0.7777777777777778
485,0.8888888888888888,0.7777777777777778
486,0.5555555555555556,0.1111111111111111
487,0.8888888888888888,0.5555555555555556
488,1.0,0.8888888888888888
489,0.5555555555555556,0.2222222222222222
490,0.8888888888888888,0.2222222222222222
491,0.8888888888888888,0.4444444444444444
492,0.7777777777777778,0.3333333333333333
493,0.8888888888888888,0.4444444444444444
494,0.8888888888888888,0.4444444444444444
495,0.6666666666666666,0.1111111111111111
496,0.7777777777777778,0.5555555555555556
497,1.0,0.8888888888888888
498,0.6666666666666666,0.2222222222222222
499,1.0,0.5555555555555556
500,1.0,1.0
501,0.8888888888888888,0.8888888888888888
502,1.0,1.0
503,1.0,1.0
504,0.6666666666666666,0.2222222222222222
505,0.8888888888888888,0.7777777777777778
506,1.0,0.8888888888888888
507,0.8888888888888888,0.1111111111111111
508,1.0,0.8888888888888888
509,1.0,1.0
510,1.0,1.0
511,1.0,1.0
512,1.0,1.0
513,0.4444444444444444,0.1111111111111111
514,0.7777777777777778,0.5555555555555556
515,0.8888888888888888,0.6666666666666666
516,0.4444444444444444,0.0
517,0.8888888888888888,0.2222222222222222
518,1.0,0.5555555555555556
519,0.6666666666666666,0.3333333333333333
520,0.7777777777777778,0.4444444444444444
521,0.7777777777777778,0.5555555555555556
522,0.5555555555555556,0.0
523,0.8888888888888888,0.5555555555555556
524,1.0,0.8888888888888888
525,0.7777777777777778,0.1111111111111111
526,0.8888888888888888,0.3333333333333333
527,1.0,1.0
528,1.0,1.0
529,1.0,0.8888888888888888
530,1.0,1.0
531,0.6666666666666666,0.1111111111111111
532,0.8888888888888888,0.6666666666666666
533,1.0,1.0
534,0.8888888888888888,0.2222222222222222
535,1.0,0.7777777777777778
536,1.0,1.0
537,1.0,1.0
538,1.0,1.0
539,1.0,1.0
540,0.4444444444444444,0.0
541,0.6666666666666666,0.0
542,1.0,0.7777777777777778
543,0.4444444444444444,0.0
544,0.8888888888888888,0.1111111111111111
545,0.8888888888888888,0.4444444444444444
546,0.6666666666666666,0.3333333333333333
547,0.7777777777777778,0.4444444444444444
548,0.7777777777777778,0.5555555555555556
549,0.5555555555555556,0.0
550,0.7777777777777778,0.4444444444444444
551,1.0,1.0
552,0.7777777777777778,0.0
553,1.0,0.5555555555555556
554,1.0,0.8888888888888888
555,1.0,1.0
556,1.0,0.8888888888888888
557,1.0,1.0
558,0.5555555555555556,0.1111111111111111
559,0.8888888888888888,0.4444444444444444
560,1.0,1.0
561,0.8888888888888888,0.1111111111111111
562,1.0,0.6666666666666666
563,1.0,1.0
564,1.0,1.0
565,1.0,1.0
566,1.0,1.0
567,0.1976,0.3007
568,0.2044,0.3182
569,0.2115,0.3419
570,0.195,0.3007
571,0.2002,0.3182
572,0.2079,0.3341
573,0.1915,0.2939
574,0.2124,0.3257
575,0.2145,0.3337
576,0.2031,0.3182
577,0.2161,0.3419
578,0.2073,0.3421
579,0.2029,0.3182
580,0.2042,0.3337
581,0.2014,0.3485
582,0.193,0.3173
583,0.2045,0.3337
584,0.2052,0.3337
585,0.2165,0.3411
586,0.2237,0.3576
587,0.2205,0.3752
588,0.2105,0.3419
589,0.1923,0.3561
590,0.1823,0.3824
591,0.191,0.3503
592,0.1985,0.3589
593,0.1933,0.3585
594,0.165,0.2529
595,0.2036,0.3264
596,0.2135,0.3493
597,0.1686,0.2677
598,0.1887,0.3173
599,0.1965,0.3339
600,0.1688,0.2606
601,0.1963,0.3173
602,0.2162,0.3562
603,0.1963,0.3085
604,0.2111,0.3419
605,0.2057,0.3493
606,0.1875,0.3016
607,0.2074,0.3493
608,0.198,0.3557
609,0.195,0.3173
610,0.2069,0.3493
611,0.2119,0.3562
612,0.2151,0.3493
613,0.214,0.3557
614,0.2063,0.3791
615,0.2012,0.3493
616,0.185,0.3624
617,0.1734,0.4016
618,0.1885,0.363
619,0.1911,0.3707
620,0.1943,0.3792
621,0.1581,0.2449
622,0.1805,0.3025
623,0.197,0.3493
624,0.1499,0.2452
625,0.1859,0.3245
626,0.1861,0.3329
627,0.1575,0.2449
628,0.1923,0.3234
629,0.1943,0.3398
630,0.1723,0.2853
631,0.2014,0.3419
632,0.1946,0.3562
633,0.182,0.3011
634,0.1951,0.3493
635,0.1878,0.3627
636,0.191,0.3184
637,0.1955,0.3482
638,0.1973,0.3562
639,0.2042,0.3562
640,0.2189,0.3866
641,0.2136,0.4263
642,0.198,0.3638
643,0.1892,0.3877
644,0.1729,0.4341
645,0.1778,0.3625
646,0.1998,0.4029
647,0.2051,0.4192
648,0.55,0.07
649,0.66,0.09
650,0.59,0.11
651,0.5,0.07
652,0.62,0.07
653,0.67,0.07
654,0.6,0.07
655,0.57,0.11
656,0.6,0.1
657,0.51,0.07
658,0.55,0.07
659,0.58,0.1
660,0.57,0.07
661,0.71,0.07
662,0.67,0.1
663,0.65,0.1
664,0.77,0.13
665,0.78,0.15
666,0.57,0.07
667,0.54,0.1
668,0.63,0.11
669,0.67,0.07
670,0.7,0.09
671,0.72,0.12
672,0.83,0.18
673,0.82,0.19
674,0.83,0.18
675,0.57,0.07
676,0.6,0.07
677,0.61,0.07
678,0.55,0.07
679,0.6,0.1
680,0.72,0.07
681,0.65,0.09
682,0.67,0.09
683,0.67,0.08
684,0.57,0.07
685,0.56,0.08
686,0.65,0.1
687,0.59,0.07
688,0.69,0.07
689,0.74,0.1
690,0.63,0.08
691,0.74,0.14
692,0.75,0.1
693,0.54,0.07
694,0.57,0.09
695,0.63,0.12
696,0.65,0.07
697,0.73,0.07
698,0.75,0.1
699,0.83,0.15
700,0.84,0.13
701,0.83,0.13
702,0.49,0.07
703,0.6,0.07
704,0.63,0.09
705,0.58,0.09
706,0.64,0.07
707,0.69,0.07
708,0.62,0.1
709,0.67,0.07
710,0.69,0.07
711,0.56,0.07
712,0.61,0.07
713,0.61,0.08
714,0.62,0.07
715,0.66,0.07
716,0.75,0.07
717,0.7,0.07
718,0.71,0.07
719,0.77,0.07
720,0.59,0.07
721,0.61,0.07
722,0.63,0.1
723,0.67,0.07
724,0.76,0.08
725,0.77,0.1
726,0.84,0.13
727,0.84,0.12
728,0.84,0.1
729,0.45,0.25
730,0.62,0.27
731,0.67,0.35
732,0.47,0.22
733,0.61,0.28
734,0.67,0.33
735,0.55,0.23
736,0.66,0.25
737,0.65,0.3
738,0.57,0.27
739,0.69,0.36
740,0.72,0.37
741,0.54,0.22
742,0.69,0.33
743,0.7,0.35
744,0.65,0.31
745,0.71,0.33
746,0.73,0.37
747,0.59,0.31
748,0.71,0.37
749,0.72,0.39
750,0.64,0.3
751,0.69,0.36
752,0.72,0.37
753,0.75,0.37
754,0.75,0.37
755,0.75,0.37
756,0.46,0.24
757,0.6,0.28
758,0.61,0.32
759,0.48,0.24
760,0.56,0.24
761,0.63,0.3
762,0.46,0.24
763,0.58,0.28
764,0.6,0.28
765,0.55,0.24
766,0.67,0.3
767,0.7,0.34
768,0.54,0.24
769,0.68,0.3
770,0.68,0.33
771,0.62,0.27
772,0.68,0.29
773,0.7,0.31
774,0.57,0.24
775,0.71,0.37
776,0.73,0.37
777,0.68,0.28
778,0.69,0.3
779,0.73,0.37
780,0.7,0.35
781,0.73,0.35
782,0.74,0.36
783,0.45,0.24
784,0.55,0.29
785,0.67,0.32
786,0.34,0.2
787,0.46,0.23
788,0.6,0.33
789,0.45,0.25
790,0.43,0.25
791,0.54,0.25
792,0.44,0.23
793,0.63,0.3
794,0.69,0.32
795,0.54,0.25
796,0.62,0.26
797,0.67,0.3
798,0.51,0.28
799,0.63,0.31
800,0.7,0.31
801,0.6,0.23
802,0.73,0.31
803,0.73,0.31
804,0.71,0.27
805,0.71,0.31
806,0.73,0.34
807,0.68,0.33
808,0.72,0.35
809,0.75,0.34
810,0.34,0.19
811,0.45,0.22
812,0.65,0.26
813,0.33,0.19
814,0.47,0.22
815,0.63,0.31
816,0.43,0.2
817,0.56,0.27
818,0.56,0.32
819,0.3,0.19
820,0.52,0.27
821,0.57,0.26
822,0.43,0.22
823,0.55,0.25
824,0.61,0.29
825,0.64,0.34
826,0.62,0.37
827,0.64,0.32
828,0.35,0.23
829,0.55,0.27
830,0.63,0.31
831,0.57,0.23
832,0.57,0.3
833,0.65,0.35
834,0.66,0.39
835,0.7,0.36
836,0.67,0.35
837,0.35,0.19
838,0.43,0.23
839,0.56,0.27
840,0.31,0.19
841,0.43,0.22
842,0.61,0.27
843,0.42,0.22
844,0.51,0.22
845,0.5,0.24
846,0.31,0.19
847,0.54,0.25
848,0.55,0.26
849,0.41,0.22
850,0.61,0.24
851,0.63,0.24
852,0.62,0.34
853,0.67,0.31
854,0.63,0.3
855,0.35,0.23
856,0.52,0.24
857,0.64,0.3
858,0.61,0.24
859,0.63,0.25
860,0.68,0.31
861,0.68,0.36
862,0.7,0.32
863,0.69,0.32
864,0.36,0.19
865,0.41,0.22
866,0.6,0.25
867,0.34,0.19
868,0.44,0.22
869,0.64,0.24
870,0.41,0.21
871,0.5,0.21
872,0.55,0.22
873,0.29,0.19
874,0.47,0.26
875,0.59,0.27
876,0.4,0.22
877,0.48,0.22
878,0.64,0.27
879,0.68,0.3
880,0.66,0.28
881,0.66,0.26
882,0.39,0.23
883,0.48,0.23
884,0.65,0.26
885,0.6,0.26
886,0.63,0.25
887,0.69,0.29
888,0.69,0.34
889,0.71,0.33
890,0.72,0.34
891,0.5555555555555556,0.1111111111111111
892,0.7777777777777778,0.4444444444444444
893,1.0,0.7777777777777778
894,0.5555555555555556,0.1111111111111111
895,0.7777777777777778,0.2222222222222222
896,0.8888888888888888,0.3333333333333333
897,0.7777777777777778,0.0
898,0.8888888888888888,0.0
899,0.8888888888888888,0.0
900,0.5555555555555556,0.1111111111111111
901,0.8888888888888888,0.3333333333333333
902,1.0,0.8888888888888888
903,0.7777777777777778,0.1111111111111111
904,0.7777777777777778,0.4444444444444444
905,0.8888888888888888,0.7777777777777778
906,1.0,1.0
907,1.0,1.0
908,1.0,0.8888888888888888
909,0.8888888888888888,0.4444444444444444
910,0.7777777777777778,0.5555555555555556
911,1.0,0.8888888888888888
912,0.8888888888888888,0.2222222222222222
913,0.8888888888888888,0.7777777777777778
914,1.0,0.8888888888888888
915,1.0,1.0
916,1.0,1.0
917,1.0,1.0
918,0.5555555555555556,0.0
919,0.6666666666666666,0.3333333333333333
920,0.7777777777777778,0.7777777777777778
921,0.5555555555555556,0.1111111111111111
922,0.7777777777777778,0.0
923,0.7777777777777778,0.3333333333333333
924,0.7777777777777778,0.1111111111111111
925,1.0,0.0
926,0.8888888888888888,0.2222222222222222
927,0.5555555555555556,0.1111111111111111
928,0.7777777777777778,0.3333333333333333
929,0.8888888888888888,0.6666666666666666
930,0.7777777777777778,0.1111111111111111
931,0.7777777777777778,0.4444444444444444
932,0.7777777777777778,0.6666666666666666
933,0.7777777777777778,0.7777777777777778
934,0.7777777777777778,0.5555555555555556
935,0.8888888888888888,0.8888888888888888
936,0.6666666666666666,0.2222222222222222
937,0.7777777777777778,0.5555555555555556
938,1.0,0.8888888888888888
939,0.8888888888888888,0.3333333333333333
940,0.8888888888888888,0.6666666666666666
941,1.0,0.8888888888888888
942,1.0,1.0
943,1.0,1.0
944,1.0,1.0
945,0.5555555555555556,0.0
946,0.6666666666666666,0.3333333333333333
947,0.7777777777777778,0.3333333333333333
948,0.5555555555555556,0.1111111111111111
949,0.7777777777777778,0.0
950,0.7777777777777778,0.3333333333333333
