,raw,floored
0,0.1246,0.1246
1,0.1029,0.1029
2,0.1087,0.1087
3,0.1156,0.1156
4,0.1014,0.1014
5,0.1086,0.1086
6,0.1248,0.1248
7,0.1255,0.1255
8,0.1252,0.1252
9,0.119,0.119
10,0.1085,0.1085
11,0.1087,0.6575
12,0.1065,0.1065
13,0.1055,0.1055
14,0.1095,0.6673
15,0.1044,0.1044
16,0.1046,0.1046
17,0.1038,0.1038
18,0.1165,0.1165
19,0.1104,0.6325
20,0.1066,0.6419
21,0.1103,0.1103
22,0.1056,0.6516
23,0.1063,0.6539
24,0.1073,0.6487
25,0.1086,0.6479
26,0.1064,0.6505
27,0.124,0.124
28,0.1036,0.1036
29,0.1103,0.1103
30,0.1114,0.1114
31,0.0998,0.0998
32,0.1057,0.1057
33,0.1212,0.1212
34,0.1218,0.1218
35,0.1244,0.1244
36,0.1242,0.1242
37,0.1075,0.1075
38,0.111,0.682
39,0.1051,0.1051
40,0.1037,0.1037
41,0.1086,0.6894
42,0.1019,0.1019
43,0.1054,0.1054
44,0.1044,0.1044
45,0.119,0.119
46,0.1071,0.6521
47,0.1041,0.6652
48,0.1082,0.1082
49,0.107,0.7017
50,0.1038,0.7033
51,0.1061,0.6783
52,0.1078,0.6716
53,0.1078,0.6724
54,0.1147,0.1147
55,0.106,0.106
56,0.109,0.109
57,0.1068,0.1068
58,0.1005,0.1005
59,0.1074,0.1074
60,0.1202,0.1202
61,0.1201,0.1201
62,0.1214,0.1214
63,0.1224,0.1224
64,0.1081,0.1081
65,0.1116,0.6821
66,0.105,0.105
67,0.1049,0.1049
68,0.1097,0.6923
69,0.1005,0.1005
70,0.1053,0.1053
71,0.1046,0.1046
72,0.1171,0.1171
73,0.1055,0.697
74,0.1057,0.7224
75,0.1104,0.1104
76,0.1075,0.7332
77,0.1075,0.7489
78,0.1054,0.7044
79,0.1071,0.7012
80,0.1067,0.691
81,0.51,0.14
82,0.57,0.26
83,0.58,0.13
84,0.5,0.16
85,0.65,0.29
86,0.67,0.28
87,0.65,0.24
88,0.64,0.32
89,0.64,0.23
90,0.54,0.16
91,0.59,0.18
92,0.66,0.18
93,0.52,0.24
94,0.72,0.33
95,0.75,0.35
96,0.72,0.26
97,0.83,0.34
98,0.84,0.36
99,0.64,0.25
100,0.54,0.2
101,0.61,0.23
102,0.68,0.24
103,0.72,0.24
104,0.74,0.24
105,0.82,0.35
106,0.85,0.35
107,0.85,0.35
108,0.58,0.2
109,0.51,0.29
110,0.63,0.17
111,0.57,0.23
112,0.64,0.27
113,0.67,0.19
114,0.63,0.16
115,0.69,0.2
116,0.68,0.23
117,0.6,0.25
118,0.55,0.26
119,0.66,0.19
120,0.6,0.25
121,0.62,0.19
122,0.79,0.34
123,0.73,0.21
124,0.79,0.35
125,0.79,0.33
126,0.59,0.17
127,0.56,0.23
128,0.65,0.19
129,0.7,0.26
130,0.72,0.27
131,0.77,0.28
132,0.86,0.34
133,0.86,0.35
134,0.86,0.34
135,0.5,0.19
136,0.6,0.28
137,0.67,0.11
138,0.52,0.24
139,0.64,0.28
140,0.7,0.17
141,0.65,0.13
142,0.7,0.27
143,0.68,0.25
144,0.5,0.3
145,0.53,0.24
146,0.63,0.22
147,0.64,0.29
148,0.64,0.26
149,0.76,0.36
150,0.7,0.24
151,0.76,0.31
152,0.77,0.3
153,0.59,0.28
154,0.58,0.19
155,0.68,0.18
156,0.68,0.21
157,0.76,0.26
158,0.82,0.28
159,0.83,0.33
160,0.86,0.28
161,0.85,0.29
162,0.48,0.42
163,0.63,0.51
164,0.67,0.49
165,0.53,0.35
166,0.61,0.44
167,0.68,0.48
168,0.6,0.42
169,0.66,0.45
170,0.68,0.47
171,0.58,0.43
172,0.7,0.49
173,0.72,0.49
174,0.59,0.38
175,0.7,0.4
176,0.71,0.47
177,0.67,0.5
178,0.74,0.49
179,0.73,0.48
180,0.63,0.46
181,0.71,0.49
182,0.74,0.49
183,0.64,0.42
184,0.71,0.49
185,0.73,0.49
186,0.75,0.5
187,0.75,0.5
188,0.75,0.5
189,0.39,0.39
190,0.6,0.47
191,0.67,0.48
192,0.49,0.49
193,0.56,0.37
194,0.64,0.46
195,0.45,0.45
196,0.63,0.41
197,0.66,0.42
198,0.58,0.46
199,0.68,0.47
200,0.68,0.46
201,0.54,0.35
202,0.69,0.43
203,0.7,0.44
204,0.67,0.39
205,0.71,0.45
206,0.72,0.46
207,0.64,0.46
208,0.73,0.44
209,0.73,0.46
210,0.7,0.44
211,0.71,0.45
212,0.72,0.47
213,0.73,0.47
214,0.74,0.46
215,0.73,0.45
216,0.47,0.47
217,0.59,0.45
218,0.62,0.5
219,0.43,0.43
220,0.54,0.35
221,0.59,0.39
222,0.42,0.42
223,0.44,0.44
224,0.57,0.34
225,0.55,0.35
226,0.66,0.42
227,0.67,0.43
228,0.53,0.32
229,0.65,0.4
230,0.66,0.42
231,0.53,0.36
232,0.67,0.39
233,0.69,0.45
234,0.61,0.46
235,0.72,0.44
236,0.73,0.43
237,0.68,0.39
238,0.73,0.42
239,0.73,0.45
240,0.71,0.43
241,0.72,0.46
242,0.74,0.44
243,0.38,0.38
244,0.56,0.33
245,0.63,0.35
246,0.34,0.34
247,0.57,0.33
248,0.62,0.34
249,0.48,0.48
250,0.66,0.45
251,0.66,0.44
252,0.38,0.27
253,0.49,0.33
254,0.61,0.44
255,0.48,0.32
256,0.57,0.34
257,0.63,0.36
258,0.63,0.37
259,0.65,0.43
260,0.69,0.36
261,0.39,0.3
262,0.48,0.34
263,0.62,0.4
264,0.57,0.32
265,0.6,0.35
266,0.64,0.37
267,0.66,0.45
268,0.68,0.38
269,0.68,0.4
270,0.39,0.39
271,0.52,0.26
272,0.61,0.4
273,0.37,0.37
274,0.55,0.36
275,0.63,0.34
276,0.47,0.47
277,0.6,0.42
278,0.63,0.47
279,0.39,0.29
280,0.54,0.29
281,0.62,0.37
282,0.45,0.27
283,0.59,0.37
284,0.65,0.35
285,0.65,0.34
286,0.68,0.45
287,0.7,0.35
288,0.37,0.34
289,0.53,0.33
290,0.64,0.37
291,0.61,0.29
292,0.65,0.36
293,0.66,0.37
294,0.68,0.45
295,0.69,0.4
296,0.7,0.41
297,0.34,0.34
298,0.49,0.29
299,0.59,0.37
300,0.4,0.4
301,0.54,0.32
302,0.67,0.34
303,0.41,0.41
304,0.58,0.39
305,0.65,0.42
306,0.43,0.3
307,0.51,0.32
308,0.62,0.36
309,0.42,0.29
310,0.66,0.34
311,0.69,0.33
312,0.66,0.36
313,0.68,0.44
314,0.69,0.39
315,0.43,0.3
316,0.54,0.3
317,0.66,0.35
318,0.57,0.33
319,0.62,0.35
320,0.66,0.36
321,0.68,0.39
322,0.71,0.44
323,0.71,0.39
324,0.5555555555555556,0.5555555555555556
325,0.7777777777777778,0.7777777777777778
326,1.0,0.5555555555555556
327,0.5555555555555556,0.3333333333333333
328,0.7777777777777778,0.4444444444444444
329,0.8888888888888888,0.4444444444444444
330,0.7777777777777778,0.4444444444444444
331,0.8888888888888888,0.4444444444444444
332,0.8888888888888888,0.4444444444444444
333,0.5555555555555556,0.5555555555555556
334,0.8888888888888888,0.7777777777777778
335,1.0,0.7777777777777778
336,0.7777777777777778,0.3333333333333333
337,0.7777777777777778,0.5555555555555556
338,0.8888888888888888,0.5555555555555556
339,1.0,0.6666666666666666
340,1.0,0.6666666666666666
341,1.0,0.6666666666666666
342,0.8888888888888888,0.5555555555555556
343,0.7777777777777778,0.5555555555555556
344,1.0,0.7777777777777778
345,0.8888888888888888,0.5555555555555556
346,0.7777777777777778,0.6666666666666666
347,1.0,0.7777777777777778
348,1.0,0.7777777777777778
349,1.0,0.7777777777777778
350,1.0,0.7777777777777778
351,0.5555555555555556,0.5555555555555556
352,0.6666666666666666,0.5555555555555556
353,0.7777777777777778,0.5555555555555556
354,0.5555555555555556,0.2222222222222222
355,0.7777777777777778,0.4444444444444444
356,0.7777777777777778,0.4444444444444444
357,0.7777777777777778,0.1111111111111111
358,1.0,0.4444444444444444
359,0.8888888888888888,0.3333333333333333
360,0.5555555555555556,0.5555555555555556
361,0.7777777777777778,0.5555555555555556
362,0.8888888888888888,0.6666666666666666
363,0.7777777777777778,0.3333333333333333
364,0.7777777777777778,0.5555555555555556
365,0.8888888888888888,0.4444444444444444
366,0.7777777777777778,0.4444444444444444
367,0.7777777777777778,0.5555555555555556
368,0.8888888888888888,0.5555555555555556
369,0.6666666666666666,0.5555555555555556
370,0.7777777777777778,0.5555555555555556
371,1.0,0.6666666666666666
372,0.8888888888888888,0.4444444444444444
373,0.7777777777777778,0.6666666666666666
374,1.0,0.7777777777777778
375,1.0,0.7777777777777778
376,1.0,0.7777777777777778
377,1.0,0.6666666666666666
378,0.5555555555555556,0.5555555555555556
379,0.6666666666666666,0.3333333333333333
380,0.7777777777777778,0.4444444444444444
381,0.5555555555555556,0.2222222222222222
382,0.7777777777777778,0.4444444444444444
383,0.7777777777777778,0.5555555555555556
384,0.7777777777777778,0.1111111111111111
385,0.7777777777777778,0.3333333333333333
386,0.7777777777777778,0.2222222222222222
387,0.5555555555555556,0.5555555555555556
388,0.6666666666666666,0.4444444444444444
389,0.7777777777777778,0.6666666666666666
390,0.7777777777777778,0.4444444444444444
391,0.7777777777777778,0.5555555555555556
392,0.8888888888888888,0.4444444444444444
393,0.7777777777777778,0.5555555555555556
394,0.7777777777777778,0.4444444444444444
395,0.8888888888888888,0.5555555555555556
396,0.5555555555555556,0.5555555555555556
397,0.8888888888888888,0.4444444444444444
398,1.0,0.5555555555555556
399,0.8888888888888888,0.6666666666666666
400,0.8888888888888888,0.5555555555555556
401,1.0,0.5555555555555556
402,1.0,0.6666666666666666
403,1.0,0.5555555555555556
404,1.0,0.6666666666666666
405,0.6666666666666666,0.4444444444444444
