,raw,floored
0,0.131,0.7615
1,0.1105,0.7924
2,0.1099,0.7924
3,0.1195,0.7611
4,0.1081,0.7924
5,0.1108,0.7926
6,0.1277,0.7535
7,0.1275,0.7535
8,0.128,0.7535
9,0.1247,0.7615
10,0.1098,0.7924
11,0.1112,0.7927
12,0.1056,0.7848
13,0.1101,0.7924
14,0.1096,0.7928
15,0.1106,0.7925
16,0.1107,0.7925
17,0.1099,0.7925
18,0.1189,0.7769
19,0.1083,0.7958
20,0.1061,0.7987
21,0.1081,0.7924
22,0.1071,0.7953
23,0.1088,0.7983
24,0.1085,0.795
25,0.1087,0.7965
26,0.1092,0.7965
27,0.1318,0.7615
28,0.1093,0.7924
29,0.1081,0.7924
30,0.12,0.7691
31,0.1065,0.7924
32,0.1083,0.7926
33,0.1229,0.7535
34,0.1251,0.7535
35,0.1266,0.7535
36,0.1269,0.7615
37,0.1098,0.7924
38,0.1107,0.7925
39,0.1058,0.7848
40,0.1069,0.7924
41,0.1073,0.7928
42,0.1079,0.7925
43,0.109,0.7926
44,0.1091,0.7926
45,0.1198,0.7691
46,0.1069,0.7933
47,0.1075,0.7979
48,0.1079,0.7924
49,0.1063,0.7941
50,0.1056,0.797
51,0.108,0.7947
52,0.1083,0.7948
53,0.1078,0.7942
54,0.1244,0.7615
55,0.1099,0.7924
56,0.1094,0.7925
57,0.1178,0.777
58,0.1065,0.7924
59,0.1083,0.7925
60,0.1221,0.7454
61,0.1242,0.7455
62,0.1262,0.7456
63,0.1274,0.7691
64,0.1096,0.7925
65,0.1084,0.7926
66,0.1031,0.7848
67,0.1078,0.7925
68,0.108,0.7927
69,0.1069,0.7926
70,0.1078,0.7926
71,0.1071,0.7926
72,0.1196,0.7769
73,0.1045,0.7925
74,0.1059,0.7934
75,0.1052,0.7925
76,0.1047,0.7929
77,0.1049,0.7937
78,0.1061,0.7939
79,0.102,0.7934
80,0.1048,0.7931
81,0.53,0.07
82,0.54,0.07
83,0.59,0.14
84,0.54,0.08
85,0.61,0.08
86,0.75,0.1
87,0.68,0.1
88,0.71,0.1
89,0.72,0.1
90,0.57,0.07
91,0.52,0.1
92,0.59,0.14
93,0.57,0.08
94,0.68,0.19
95,0.8,0.12
96,0.76,0.12
97,0.81,0.17
98,0.83,0.18
99,0.63,0.07
100,0.49,0.13
101,0.6,0.13
102,0.68,0.12
103,0.67,0.11
104,0.74,0.15
105,0.84,0.22
106,0.85,0.2
107,0.85,0.2
108,0.63,0.07
109,0.57,0.08
110,0.67,0.15
111,0.56,0.09
112,0.64,0.1
113,0.71,0.14
114,0.63,0.12
115,0.7,0.09
116,0.71,0.08
117,0.6,0.07
118,0.53,0.09
119,0.61,0.13
120,0.6,0.09
121,0.66,0.14
122,0.81,0.12
123,0.75,0.14
124,0.75,0.14
125,0.8,0.13
126,0.62,0.07
127,0.5,0.12
128,0.63,0.1
129,0.71,0.1
130,0.74,0.1
131,0.77,0.13
132,0.84,0.19
133,0.87,0.17
134,0.88,0.16
135,0.53,0.07
136,0.56,0.1
137,0.65,0.1
138,0.61,0.08
139,0.65,0.1
140,0.73,0.12
141,0.69,0.11
142,0.75,0.1
143,0.72,0.1
144,0.54,0.07
145,0.51,0.08
146,0.65,0.09
147,0.67,0.07
148,0.69,0.1
149,0.79,0.11
150,0.74,0.13
151,0.76,0.09
152,0.78,0.09
153,0.54,0.07
154,0.57,0.09
155,0.71,0.11
156,0.7,0.08
157,0.75,0.1
158,0.82,0.1
159,0.81,0.18
160,0.85,0.12
161,0.85,0.11
162,0.5,0.23
163,0.61,0.31
164,0.63,0.31
165,0.55,0.23
166,0.57,0.26
167,0.62,0.32
168,0.58,0.23
169,0.64,0.25
170,0.65,0.27
171,0.55,0.24
172,0.65,0.31
173,0.69,0.32
174,0.58,0.26
175,0.68,0.29
176,0.67,0.3
177,0.62,0.29
178,0.67,0.31
179,0.69,0.31
180,0.61,0.3
181,0.7,0.38
182,0.74,0.38
183,0.67,0.3
184,0.7,0.33
185,0.72,0.36
186,0.71,0.31
187,0.74,0.36
188,0.75,0.37
189,0.52,0.23
190,0.63,0.3
191,0.66,0.31
192,0.57,0.23
193,0.56,0.25
194,0.64,0.31
195,0.6,0.23
196,0.62,0.28
197,0.67,0.28
198,0.56,0.23
199,0.68,0.3
200,0.71,0.3
201,0.56,0.25
202,0.67,0.29
203,0.68,0.3
204,0.64,0.29
205,0.69,0.3
206,0.71,0.29
207,0.63,0.28
208,0.7,0.37
209,0.73,0.36
210,0.66,0.3
211,0.69,0.32
212,0.72,0.35
213,0.73,0.32
214,0.72,0.35
215,0.73,0.36
