,raw,floored
0,0.1041,0.2974
1,0.1088,0.2921
2,0.1065,0.2834
3,0.1034,0.2883
4,0.1093,0.292
5,0.1033,0.2763
6,0.1017,0.2825
7,0.1022,0.2836
8,0.1008,0.2784
9,0.0994,0.2713
10,0.1015,0.2782
11,0.1058,0.2864
12,0.1041,0.2917
13,0.103,0.2784
14,0.1036,0.2827
15,0.1029,0.2836
16,0.1037,0.2814
17,0.1069,0.2876
18,0.106,0.285
19,0.0994,0.2779
20,0.1055,0.2852
21,0.1045,0.2811
22,0.0994,0.2752
23,0.1012,0.2797
24,0.1038,0.2884
25,0.1064,0.2782
26,0.1044,0.2848
27,0.104,0.286
28,0.1048,0.2839
29,0.1003,0.2846
30,0.1057,0.2852
31,0.1038,0.2779
32,0.1027,0.2862
33,0.1014,0.2797
34,0.1039,0.2907
35,0.1037,0.2827
36,0.1047,0.2825
37,0.1073,0.2835
38,0.1068,0.2851
39,0.1011,0.2744
40,0.0996,0.2797
41,0.1031,0.2823
42,0.1039,0.2849
43,0.0997,0.2799
44,0.1095,0.2899
45,0.1025,0.2931
46,0.1053,0.28
47,0.1066,0.286
48,0.1043,0.2734
49,0.1026,0.2826
50,0.1052,0.2902
51,0.1052,0.2804
52,0.104,0.2883
53,0.1024,0.2896
54,0.1043,0.2864
55,0.1053,0.2849
56,0.1053,0.2823
57,0.1015,0.2806
58,0.1063,0.2819
59,0.1031,0.2859
60,0.0999,0.2761
61,0.1007,0.2806
62,0.1062,0.2886
63,0.105,0.2866
64,0.1048,0.2788
65,0.107,0.2802
66,0.106,0.2883
67,0.1043,0.2853
68,0.1015,0.2845
69,0.1012,0.2827
70,0.1082,0.2856
71,0.1053,0.2875
72,0.106,0.2852
73,0.1038,0.2755
74,0.1063,0.2915
75,0.1047,0.2785
76,0.1071,0.2934
77,0.1017,0.2736
78,0.1029,0.2866
79,0.1037,0.2853
80,0.1012,0.2814
81,0.48,0.34
82,0.46,0.34
83,0.47,0.36
84,0.45,0.34
85,0.51,0.35
86,0.56,0.36
87,0.41,0.34
88,0.47,0.36
89,0.48,0.38
90,0.49,0.48
91,0.44,0.36
92,0.42,0.31
93,0.48,0.36
94,0.49,0.4
95,0.47,0.32
96,0.37,0.29
97,0.45,0.33
98,0.46,0.25
99,0.48,0.36
100,0.48,0.4
101,0.51,0.39
102,0.53,0.41
103,0.49,0.35
104,0.51,0.41
105,0.49,0.37
106,0.43,0.3
107,0.41,0.34
108,0.34,0.23
109,0.44,0.3
110,0.4,0.34
111,0.43,0.34
112,0.44,0.36
113,0.46,0.28
114,0.46,0.37
115,0.42,0.36
116,0.39,0.32
117,0.39,0.36
118,0.45,0.33
119,0.42,0.35
120,0.52,0.4
121,0.45,0.39
122,0.37,0.31
123,0.42,0.35
124,0.41,0.27
125,0.46,0.36
126,0.42,0.34
127,0.46,0.41
128,0.43,0.31
129,0.45,0.39
