,raw,floored
0,0.1041,0.2708
1,0.1088,0.2669
2,0.1065,0.2646
3,0.1034,0.2711
4,0.1093,0.2635
5,0.1033,0.2534
6,0.1017,0.2662
7,0.1022,0.2701
8,0.1008,0.2577
9,0.0994,0.2575
10,0.1015,0.2617
11,0.1058,0.2626
12,0.1041,0.2658
13,0.103,0.2597
14,0.1036,0.2567
15,0.1029,0.2623
16,0.1037,0.2615
17,0.1069,0.262
18,0.106,0.2621
19,0.0994,0.26
20,0.1055,0.2663
21,0.1045,0.2628
22,0.0994,0.2581
23,0.1012,0.2595
24,0.1038,0.2682
25,0.1064,0.2632
26,0.1044,0.2666
27,0.104,0.2612
28,0.1048,0.2549
29,0.1003,0.2644
30,0.1057,0.2619
31,0.1038,0.2619
32,0.1027,0.2634
33,0.1014,0.261
34,0.1039,0.2697
35,0.1037,0.2659
36,0.1047,0.258
37,0.1073,0.2627
38,0.1068,0.267
39,0.1011,0.2556
40,0.0996,0.2623
41,0.1031,0.2566
42,0.1039,0.2648
43,0.0997,0.26
44,0.1095,0.2619
45,0.1025,0.2745
46,0.1053,0.2561
47,0.1066,0.2643
48,0.1043,0.2561
49,0.1026,0.2641
50,0.1052,0.2692
51,0.1052,0.2636
52,0.104,0.2656
53,0.1024,0.2671
54,0.1043,0.2603
55,0.1053,0.2615
56,0.1053,0.2583
57,0.1015,0.2646
58,0.1063,0.2586
59,0.1031,0.2682
60,0.0999,0.2592
61,0.1007,0.2603
62,0.1062,0.268
63,0.105,0.2622
64,0.1048,0.2566
65,0.107,0.2585
66,0.106,0.2636
67,0.1043,0.2638
68,0.1015,0.2667
69,0.1012,0.2642
70,0.1082,0.2648
71,0.1053,0.2671
72,0.106,0.2674
73,0.1038,0.2568
74,0.1063,0.2674
75,0.1047,0.2602
76,0.1071,0.2698
77,0.1017,0.2546
78,0.1029,0.2635
79,0.1037,0.2648
80,0.1012,0.2587
81,0.48,0.26
82,0.46,0.27
83,0.47,0.31
84,0.45,0.24
85,0.51,0.32
86,0.56,0.34
87,0.41,0.32
88,0.47,0.27
89,0.48,0.23
90,0.49,0.17
91,0.44,0.31
92,0.42,0.27
93,0.48,0.28
94,0.49,0.25
95,0.47,0.33
96,0.37,0.29
97,0.45,0.17
98,0.46,0.36
99,0.48,0.27
100,0.48,0.26
101,0.51,0.28
102,0.53,0.29
103,0.49,0.24
104,0.51,0.26
105,0.49,0.35
106,0.43,0.2
107,0.41,0.21
108,0.34,0.28
109,0.44,0.34
110,0.4,0.24
111,0.43,0.22
112,0.44,0.29
113,0.46,0.37
114,0.46,0.25
115,0.42,0.24
116,0.39,0.32
117,0.39,0.24
118,0.45,0.28
119,0.42,0.18
120,0.52,0.25
121,0.45,0.19
122,0.37,0.2
123,0.42,0.25
124,0.41,0.25
125,0.46,0.24
126,0.42,0.2
127,0.46,0.18
128,0.43,0.28
129,0.45,0.18
130,0.47,0.24
131,0.48,0.25
132,0.45,0.29
133,0.44,0.34
134,0.46,0.27
135,0.41,0.2
136,0.51,0.26
137,0.54,0.29
138,0.51,0.28
139,0.42,0.27
140,0.49,0.3
141,0.32,0.21
142,0.47,0.29
143,0.5,0.33
144,0.46,0.34
145,0.46,0.32
146,0.56,0.27
147,0.52,0.25
148,0.49,0.29
149,0.57,0.34
150,0.42,0.23
151,0.44,0.35
152,0.39,0.3
153,0.42,0.24
154,0.43,0.22
155,0.46,0.27
156,0.4,0.31
157,0.5,0.34
158,0.52,0.28
159,0.38,0.24
160,0.44,0.31
161,0.48,0.3
162,0.39,0.3
163,0.36,0.24
164,0.4,0.32
165,0.43,0.26
166,0.4,0.3
167,0.4,0.24
168,0.43,0.34
169,0.4,0.26
170,0.36,0.21
171,0.35,0.28
172,0.31,0.32
173,0.39,0.24
174,0.34,0.16
175,0.38,0.22
176,0.4,0.2
177,0.38,0.26
178,0.41,0.23
179,0.43,0.19
180,0.3,0.26
181,0.37,0.35
182,0.44,0.32
183,0.38,0.23
184,0.41,0.31
185,0.32,0.19
186,0.39,0.26
187,0.4,0.26
188,0.35,0.18
189,0.34,0.21
190,0.4,0.26
191,0.35,0.25
192,0.38,0.34
193,0.38,0.3
194,0.42,0.25
195,0.4,0.27
196,0.37,0.19
197,0.46,0.27
198,0.38,0.28
199,0.37,0.31
200,0.4,0.25
201,0.39,0.29
202,0.37,0.27
203,0.37,0.28
204,0.52,0.21
