,raw,floored
0,0.7217,0.7437
1,0.7234,0.7445
2,0.724,0.7402
3,0.7242,0.7405
4,0.7231,0.7442
5,0.7247,0.7418
6,0.7273,0.7467
7,0.729,0.7467
8,0.7214,0.7386
9,0.724,0.7426
10,0.7287,0.744
11,0.7196,0.7387
12,0.7245,0.743
13,0.7262,0.7435
14,0.7199,0.7387
15,0.7296,0.7438
16,0.7225,0.7406
17,0.7214,0.7382
18,0.7196,0.7396
19,0.7227,0.743
20,0.7253,0.7432
21,0.7257,0.7443
22,0.7241,0.7412
23,0.7227,0.7394
24,0.7226,0.7411
25,0.7278,0.7445
26,0.7215,0.7403
27,0.7258,0.7422
28,0.7236,0.7414
29,0.7198,0.7391
30,0.7246,0.7427
31,0.7234,0.7417
32,0.7237,0.74
33,0.7266,0.7428
34,0.7242,0.7415
35,0.7246,0.7425
36,0.7201,0.7396
37,0.7245,0.7416
38,0.725,0.744
39,0.7198,0.7401
40,0.7248,0.7434
41,0.7288,0.7445
42,0.7225,0.7437
43,0.7204,0.7409
44,0.7235,0.7426
45,0.7285,0.7465
46,0.7251,0.7445
47,0.7234,0.742
48,0.7215,0.7399
49,0.7211,0.7412
50,0.7279,0.7446
51,0.7272,0.7421
52,0.7253,0.742
53,0.7191,0.74
54,0.7261,0.7433
55,0.7226,0.7415
56,0.726,0.742
57,0.7265,0.7438
58,0.7205,0.7398
59,0.7215,0.7391
60,0.7197,0.7408
61,0.721,0.7402
62,0.7234,0.7413
63,0.7216,0.7385
64,0.7211,0.7376
65,0.7263,0.7427
66,0.7219,0.7416
67,0.7184,0.7358
68,0.7246,0.7413
69,0.7263,0.744
70,0.7208,0.7402
71,0.7276,0.7464
72,0.7264,0.7417
73,0.7251,0.7411
74,0.7231,0.7428
75,0.7283,0.744
76,0.7268,0.7446
77,0.7237,0.7422
78,0.7252,0.742
79,0.7221,0.7421
80,0.721,0.7406
81,0.15,0.11
82,0.13,0.12
83,0.09,0.08
84,0.08,0.07
85,0.11,0.09
86,0.08,0.08
87,0.07,0.06
88,0.08,0.08
89,0.08,0.08
90,0.09,0.07
91,0.12,0.12
92,0.12,0.1
93,0.08,0.09
94,0.08,0.08
95,0.14,0.1
96,0.13,0.13
97,0.1,0.08
98,0.1,0.1
99,0.11,0.1
100,0.15,0.14
101,0.1,0.1
102,0.09,0.08
103,0.11,0.11
104,0.14,0.1
105,0.12,0.11
106,0.11,0.09
107,0.06,0.05
108,0.11,0.11
109,0.11,0.1
110,0.14,0.13
111,0.09,0.09
112,0.14,0.1
113,0.09,0.09
114,0.12,0.11
115,0.08,0.08
116,0.11,0.09
117,0.12,0.11
118,0.12,0.11
119,0.12,0.1
120,0.1,0.09
121,0.1,0.1
122,0.12,0.09
123,0.12,0.09
124,0.1,0.09
125,0.12,0.12
126,0.11,0.1
127,0.11,0.1
128,0.11,0.11
129,0.11,0.09
130,0.13,0.12
131,0.15,0.14
132,0.16,0.15
133,0.1,0.08
134,0.12,0.1
135,0.1,0.09
136,0.1,0.1
137,0.11,0.08
138,0.1,0.08
139,0.13,0.12
140,0.11,0.1
141,0.14,0.12
142,0.1,0.08
143,0.11,0.09
144,0.1,0.1
145,0.14,0.12
146,0.06,0.06
147,0.09,0.09
148,0.16,0.12
149,0.13,0.1
150,0.11,0.11
151,0.13,0.11
152,0.08,0.08
153,0.07,0.07
154,0.07,0.06
155,0.11,0.11
156,0.13,0.11
157,0.07,0.07
158,0.1,0.08
159,0.11,0.09
160,0.09,0.08
161,0.13,0.12
162,0.3,0.28
163,0.25,0.22
164,0.25,0.25
165,0.28,0.28
166,0.22,0.21
167,0.27,0.27
168,0.25,0.25
169,0.2,0.21
170,0.2,0.22
171,0.23,0.23
172,0.22,0.21
173,0.21,0.23
174,0.26,0.24
175,0.22,0.25
176,0.28,0.26
177,0.25,0.24
178,0.24,0.23
179,0.25,0.25
180,0.19,0.19
181,0.25,0.25
182,0.28,0.27
183,0.23,0.22
184,0.2,0.2
185,0.2,0.21
186,0.22,0.21
187,0.25,0.24
188,0.25,0.26
189,0.23,0.23
190,0.25,0.24
191,0.22,0.21
192,0.29,0.29
193,0.22,0.22
194,0.26,0.26
195,0.23,0.25
196,0.25,0.24
197,0.24,0.24
198,0.24,0.24
199,0.21,0.21
200,0.21,0.22
201,0.25,0.23
202,0.24,0.24
203,0.22,0.22
204,0.25,0.25
205,0.25,0.25
206,0.23,0.23
207,0.25,0.25
208,0.25,0.24
209,0.26,0.23
210,0.23,0.23
211,0.28,0.28
212,0.25,0.26
213,0.21,0.22
214,0.24,0.24
215,0.28,0.28
216,0.23,0.23
217,0.22,0.21
218,0.23,0.22
219,0.29,0.27
220,0.24,0.24
221,0.28,0.26
222,0.25,0.25
