,did,n_species,ground_truth,noise,n_timeseries,n_timepoints,sampling_scheme
0,0,3,3_sp_gt_1,0.01,10,5,seq
0,1,3,3_sp_gt_1,0.01,10,10,seq
0,2,3,3_sp_gt_1,0.01,10,15,seq
0,3,3,3_sp_gt_1,0.01,25,5,seq
0,4,3,3_sp_gt_1,0.01,25,10,seq
0,5,3,3_sp_gt_1,0.01,25,15,seq
0,6,3,3_sp_gt_1,0.01,50,5,seq
0,7,3,3_sp_gt_1,0.01,50,10,seq
0,8,3,3_sp_gt_1,0.01,50,15,seq
0,9,3,3_sp_gt_1,0.1,10,5,seq
0,10,3,3_sp_gt_1,0.1,10,10,seq
0,11,3,3_sp_gt_1,0.1,10,15,seq
0,12,3,3_sp_gt_1,0.1,25,5,seq
0,13,3,3_sp_gt_1,0.1,25,10,seq
0,14,3,3_sp_gt_1,0.1,25,15,seq
0,15,3,3_sp_gt_1,0.1,50,5,seq
0,16,3,3_sp_gt_1,0.1,50,10,seq
0,17,3,3_sp_gt_1,0.1,50,15,seq
0,18,3,3_sp_gt_2,0.01,10,5,seq
0,19,3,3_sp_gt_2,0.01,10,10,seq
0,20,3,3_sp_gt_2,0.01,10,15,seq
0,21,3,3_sp_gt_2,0.01,25,5,seq
0,22,3,3_sp_gt_2,0.01,25,10,seq
0,23,3,3_sp_gt_2,0.01,25,15,seq
0,24,3,3_sp_gt_2,0.01,50,5,seq
0,25,3,3_sp_gt_2,0.01,50,10,seq
0,26,3,3_sp_gt_2,0.01,50,15,seq
0,27,3,3_sp_gt_2,0.1,10,5,seq
0,28,3,3_sp_gt_2,0.1,10,10,seq
0,29,3,3_sp_gt_2,0.1,10,15,seq
0,30,3,3_sp_gt_2,0.1,25,5,seq
0,31,3,3_sp_gt_2,0.1,25,10,seq
0,32,3,3_sp_gt_2,0.1,25,15,seq
0,33,3,3_sp_gt_2,0.1,50,5,seq
0,34,3,3_sp_gt_2,0.1,50,10,seq
0,35,3,3_sp_gt_2,0.1,50,15,seq
0,36,3,3_sp_gt_3,0.01,10,5,seq
0,37,3,3_sp_gt_3,0.01,10,10,seq
0,38,3,3_sp_gt_3,0.01,10,15,seq
0,39,3,3_sp_gt_3,0.01,25,5,seq
0,40,3,3_sp_gt_3,0.01,25,10,seq
0,41,3,3_sp_gt_3,0.01,25,15,seq
0,42,3,3_sp_gt_3,0.01,50,5,seq
0,43,3,3_sp_gt_3,0.01,50,10,seq
0,44,3,3_sp_gt_3,0.01,50,15,seq
0,45,3,3_sp_gt_3,0.1,10,5,seq
0,46,3,3_sp_gt_3,0.1,10,10,seq
0,47,3,3_sp_gt_3,0.1,10,15,seq
0,48,3,3_sp_gt_3,0.1,25,5,seq
0,49,3,3_sp_gt_3,0.1,25,10,seq
0,50,3,3_sp_gt_3,0.1,25,15,seq
0,51,3,3_sp_gt_3,0.1,50,5,seq
0,52,3,3_sp_gt_3,0.1,50,10,seq
0,53,3,3_sp_gt_3,0.1,50,15,seq
0,54,3,3_sp_gt_4,0.01,10,5,seq
0,55,3,3_sp_gt_4,0.01,10,10,seq
0,56,3,3_sp_gt_4,0.01,10,15,seq
0,57,3,3_sp_gt_4,0.01,25,5,seq
0,58,3,3_sp_gt_4,0.01,25,10,seq
0,59,3,3_sp_gt_4,0.01,25,15,seq
0,60,3,3_sp_gt_4,0.01,50,5,seq
0,61,3,3_sp_gt_4,0.01,50,10,seq
0,62,3,3_sp_gt_4,0.01,50,15,seq
0,63,3,3_sp_gt_4,0.1,10,5,seq
0,64,3,3_sp_gt_4,0.1,10,10,seq
0,65,3,3_sp_gt_4,0.1,10,15,seq
0,66,3,3_sp_gt_4,0.1,25,5,seq
0,67,3,3_sp_gt_4,0.1,25,10,seq
0,68,3,3_sp_gt_4,0.1,25,15,seq
0,69,3,3_sp_gt_4,0.1,50,5,seq
0,70,3,3_sp_gt_4,0.1,50,10,seq
0,71,3,3_sp_gt_4,0.1,50,15,seq
0,72,3,3_sp_gt_5,0.01,10,5,seq
0,73,3,3_sp_gt_5,0.01,10,10,seq
0,74,3,3_sp_gt_5,0.01,10,15,seq
0,75,3,3_sp_gt_5,0.01,25,5,seq
0,76,3,3_sp_gt_5,0.01,25,10,seq
0,77,3,3_sp_gt_5,0.01,25,15,seq
0,78,3,3_sp_gt_5,0.01,50,5,seq
0,79,3,3_sp_gt_5,0.01,50,10,seq
0,80,3,3_sp_gt_5,0.01,50,15,seq
0,81,3,3_sp_gt_5,0.1,10,5,seq
0,82,3,3_sp_gt_5,0.1,10,10,seq
0,83,3,3_sp_gt_5,0.1,10,15,seq
0,84,3,3_sp_gt_5,0.1,25,5,seq
0,85,3,3_sp_gt_5,0.1,25,10,seq
0,86,3,3_sp_gt_5,0.1,25,15,seq
0,87,3,3_sp_gt_5,0.1,50,5,seq
0,88,3,3_sp_gt_5,0.1,50,10,seq
0,89,3,3_sp_gt_5,0.1,50,15,seq
0,90,3,3_sp_gt_6,0.01,10,5,seq
0,91,3,3_sp_gt_6,0.01,10,10,seq
0,92,3,3_sp_gt_6,0.01,10,15,seq
0,93,3,3_sp_gt_6,0.01,25,5,seq
0,94,3,3_sp_gt_6,0.01,25,10,seq
0,95,3,3_sp_gt_6,0.01,25,15,seq
0,96,3,3_sp_gt_6,0.01,50,5,seq
0,97,3,3_sp_gt_6,0.01,50,10,seq
0,98,3,3_sp_gt_6,0.01,50,15,seq
0,99,3,3_sp_gt_6,0.1,10,5,seq
0,100,3,3_sp_gt_6,0.1,10,10,seq
0,101,3,3_sp_gt_6,0.1,10,15,seq
0,102,3,3_sp_gt_6,0.1,25,5,seq
0,103,3,3_sp_gt_6,0.1,25,10,seq
0,104,3,3_sp_gt_6,0.1,25,15,seq
0,105,3,3_sp_gt_6,0.1,50,5,seq
0,106,3,3_sp_gt_6,0.1,50,10,seq
0,107,3,3_sp_gt_6,0.1,50,15,seq
0,108,3,3_sp_gt_7,0.01,10,5,seq
0,109,3,3_sp_gt_7,0.01,10,10,seq
0,110,3,3_sp_gt_7,0.01,10,15,seq
0,111,3,3_sp_gt_7,0.01,25,5,seq
0,112,3,3_sp_gt_7,0.01,25,10,seq
0,113,3,3_sp_gt_7,0.01,25,15,seq
0,114,3,3_sp_gt_7,0.01,50,5,seq
0,115,3,3_sp_gt_7,0.01,50,10,seq
0,116,3,3_sp_gt_7,0.01,50,15,seq
