,raw
0,1.0
1,0.9166666666666666
2,0.9166666666666666
3,1.0
4,1.0
5,1.0
6,1.0
7,0.9166666666666666
8,1.0
9,0.9166666666666666
10,0.9166666666666666
11,0.9166666666666666
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,0.9166666666666666
28,0.9166666666666666
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,0.9166666666666666
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,0.9166666666666666
72,0.8333333333333334
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,0.9166666666666666
86,0.9166666666666666
87,1.0
88,1.0
89,1.0
90,0.75
91,0.8333333333333334
92,0.8333333333333334
93,0.8333333333333334
94,0.9166666666666666
95,1.0
96,0.9166666666666666
97,0.9166666666666666
98,1.0
99,0.75
100,0.8333333333333334
101,0.9166666666666666
102,0.8333333333333334
103,0.8333333333333334
104,0.8333333333333334
105,0.9166666666666666
106,1.0
107,0.9166666666666666
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,0.9166666666666666
122,1.0
123,0.9166666666666666
124,0.9166666666666666
125,0.9166666666666666
126,0.9166666666666666
127,0.9166666666666666
128,0.9166666666666666
129,0.9166666666666666
130,0.9166666666666666
131,1.0
132,1.0
133,1.0
134,1.0
135,0.75
136,0.9166666666666666
137,0.9166666666666666
138,0.9166666666666666
139,0.9166666666666666
140,1.0
141,1.0
142,1.0
143,1.0
