,raw
0,1.0
1,0.8888888888888888
2,0.8888888888888888
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,0.8888888888888888
10,0.8888888888888888
11,0.8888888888888888
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,0.8888888888888888
19,0.8888888888888888
20,1.0
21,0.8888888888888888
22,1.0
23,0.8888888888888888
24,0.8888888888888888
25,1.0
26,0.8888888888888888
27,0.8888888888888888
28,0.8888888888888888
29,1.0
30,0.8888888888888888
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,0.8888888888888888
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,0.6666666666666666
91,0.6666666666666666
92,0.6666666666666666
93,0.6666666666666666
94,0.6666666666666666
95,0.6666666666666666
96,0.7777777777777778
97,0.7777777777777778
98,0.7777777777777778
99,0.6666666666666666
100,0.6666666666666666
101,0.7777777777777778
102,0.6666666666666666
103,0.8888888888888888
104,0.7777777777777778
105,0.6666666666666666
106,0.6666666666666666
107,0.6666666666666666
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,0.8888888888888888
122,1.0
123,1.0
124,1.0
125,1.0
126,0.7777777777777778
127,0.7777777777777778
128,0.8888888888888888
129,1.0
130,0.8888888888888888
131,1.0
132,1.0
133,1.0
134,1.0
135,0.7777777777777778
136,0.7777777777777778
137,0.7777777777777778
138,0.7777777777777778
139,0.7777777777777778
140,0.8888888888888888
141,0.8888888888888888
142,0.7777777777777778
143,0.7777777777777778
