,raw
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,0.7777777777777778
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,0.7777777777777778
13,1.0
14,0.8888888888888888
15,1.0
16,1.0
17,1.0
18,0.8888888888888888
19,1.0
20,0.6666666666666666
21,1.0
22,1.0
23,1.0
24,0.8888888888888888
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,0.8888888888888888
31,1.0
32,0.8888888888888888
33,1.0
34,1.0
35,1.0
36,0.7777777777777778
37,1.0
38,0.7777777777777778
39,1.0
40,1.0
41,1.0
42,0.6666666666666666
43,1.0
44,0.7777777777777778
45,1.0
46,1.0
47,1.0
48,0.4444444444444444
49,1.0
50,0.8888888888888888
51,1.0
52,1.0
53,1.0
54,0.7777777777777778
55,0.8888888888888888
56,0.8888888888888888
57,1.0
58,1.0
59,1.0
60,0.7777777777777778
61,0.8888888888888888
62,0.7777777777777778
63,1.0
64,1.0
65,1.0
66,0.7777777777777778
67,0.8888888888888888
68,0.8888888888888888
69,1.0
70,1.0
71,1.0
72,0.8888888888888888
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,0.8888888888888888
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,0.8888888888888888
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,0.8888888888888888
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,0.8888888888888888
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,0.8888888888888888
109,1.0
110,0.7777777777777778
111,1.0
112,1.0
113,1.0
114,0.8888888888888888
115,1.0
116,0.8888888888888888
117,1.0
118,1.0
119,1.0
120,0.7777777777777778
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,0.7777777777777778
127,1.0
128,0.6666666666666666
129,1.0
130,1.0
131,1.0
132,0.6666666666666666
133,1.0
134,0.7777777777777778
135,1.0
136,1.0
137,1.0
138,0.6666666666666666
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,0.5555555555555556
145,1.0
146,0.7777777777777778
147,1.0
148,1.0
149,1.0
150,0.6666666666666666
151,1.0
152,0.8888888888888888
153,1.0
154,1.0
155,1.0
156,0.6666666666666666
157,1.0
158,0.8888888888888888
159,1.0
160,1.0
161,1.0
162,0.5555555555555556
163,1.0
164,0.7777777777777778
165,1.0
166,1.0
167,1.0
168,0.5555555555555556
169,1.0
170,0.8888888888888888
171,1.0
172,1.0
173,1.0
174,0.6666666666666666
175,1.0
176,0.8888888888888888
177,1.0
178,1.0
179,1.0
180,1.0
181,1.0
182,1.0
183,1.0
184,0.7777777777777778
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,1.0
192,1.0
193,1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,1.0
200,0.7777777777777778
201,0.8888888888888888
202,0.7777777777777778
203,0.8888888888888888
204,1.0
205,1.0
206,1.0
207,1.0
208,0.7777777777777778
209,1.0
210,1.0
211,1.0
212,1.0
213,1.0
214,0.6666666666666666
215,1.0
216,0.7777777777777778
217,0.8888888888888888
218,0.8888888888888888
219,1.0
220,1.0
221,1.0
222,0.5555555555555556
223,0.8888888888888888
224,0.7777777777777778
225,1.0
226,1.0
227,1.0
228,0.7777777777777778
229,0.8888888888888888
230,0.8888888888888888
231,1.0
232,1.0
233,1.0
234,0.7777777777777778
235,1.0
236,0.7777777777777778
237,1.0
238,1.0
239,1.0
240,0.7777777777777778
241,1.0
242,0.7777777777777778
243,1.0
244,1.0
245,1.0
246,0.6666666666666666
247,1.0
248,0.8888888888888888
249,1.0
250,1.0
251,1.0
252,0.5555555555555556
253,1.0
254,0.7777777777777778
255,1.0
256,1.0
257,1.0
258,0.7777777777777778
259,1.0
260,0.7777777777777778
261,1.0
262,1.0
263,1.0
264,0.7777777777777778
265,1.0
266,0.8888888888888888
267,1.0
268,1.0
269,1.0
270,0.5555555555555556
271,0.8888888888888888
272,0.6666666666666666
273,1.0
274,0.8888888888888888
275,1.0
276,0.5555555555555556
277,1.0
278,0.7777777777777778
279,1.0
280,1.0
281,1.0
282,0.5555555555555556
283,1.0
284,0.8888888888888888
285,1.0
286,1.0
287,1.0
